,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-07-10,INDUSTRIAL,1496,210
1,2019-09-16,INDUSTRIAL,1550,142
2,2019-03-28,INDUSTRIAL,176,50
3,2019-02-02,INDUSTRIAL,64,38
4,2019-02-04,INDUSTRIAL,1052,1
5,2019-09-14,INDUSTRIAL,396,148
6,2020-04-15,INDUSTRIAL,3,182
7,2019-09-11,INDUSTRIAL,2928,139
8,2019-05-23,INDUSTRIAL,119,108
9,2019-01-30,INDUSTRIAL,78,102
11,2019-02-08,INDUSTRIAL,90,66
12,2019-03-01,INDUSTRIAL,826,75
13,2019-02-01,INDUSTRIAL,100,216
14,2020-01-31,INDUSTRIAL,13,152
15,2019-01-14,INDUSTRIAL,648,60
17,2019-02-06,INDUSTRIAL,12,32
18,2019-02-20,INDUSTRIAL,16,3
19,2019-02-27,INDUSTRIAL,2345,127
20,2019-02-03,INDUSTRIAL,207,33
21,2019-02-26,INDUSTRIAL,4773,45
22,2020-03-17,INDUSTRIAL,17,177
23,2019-01-09,INDUSTRIAL,44,51
24,2019-01-15,INDUSTRIAL,473,83
25,2020-03-31,INDUSTRIAL,2,120
26,2021-07-05,INDUSTRIAL,3540,209
27,2019-03-27,INDUSTRIAL,1832,46
28,2019-06-25,INDUSTRIAL,3012,131
29,2019-03-15,INDUSTRIAL,1961,41
30,2019-02-16,INDUSTRIAL,404,89
32,2019-02-17,INDUSTRIAL,46,79
33,2019-01-01,INDUSTRIAL,56,5
34,2019-05-31,INDUSTRIAL,5926,161
35,2019-09-13,INDUSTRIAL,9637,149
36,2019-02-15,INDUSTRIAL,248,97
38,2019-02-27,INDUSTRIAL,2881,74
39,2019-10-09,INDUSTRIAL,1992,156
40,2019-03-19,INDUSTRIAL,537,59
41,2019-02-01,INDUSTRIAL,128,91
42,2019-01-01,INDUSTRIAL,16,54
44,2019-01-01,INDUSTRIAL,3280,223
47,2019-02-24,INDUSTRIAL,18,37
48,2019-02-14,INDUSTRIAL,139,94
49,2019-02-15,INDUSTRIAL,918,77
50,2019-03-06,INDUSTRIAL,85,39
52,2019-02-12,INDUSTRIAL,228,84
53,2019-08-02,INDUSTRIAL,93,121
54,2019-02-27,INDUSTRIAL,1580,107
56,2019-03-08,INDUSTRIAL,3726,101
57,2019-03-14,INDUSTRIAL,2049,103
58,2019-02-25,INDUSTRIAL,438,4
60,2019-09-18,INDUSTRIAL,1945,142
61,2019-03-21,INDUSTRIAL,175,50
62,2019-02-20,INDUSTRIAL,92,38
63,2019-02-07,INDUSTRIAL,717,1
64,2019-09-18,INDUSTRIAL,2779,148
65,2020-04-16,INDUSTRIAL,2,182
66,2019-09-22,INDUSTRIAL,25,139
67,2019-05-22,INDUSTRIAL,111,108
68,2019-01-28,INDUSTRIAL,50,102
70,2019-02-01,INDUSTRIAL,162,66
71,2019-03-16,INDUSTRIAL,809,75
72,2019-02-06,INDUSTRIAL,1200,216
73,2020-03-20,INDUSTRIAL,62,152
74,2019-01-17,INDUSTRIAL,783,60
76,2019-02-07,INDUSTRIAL,2,32
77,2019-04-09,INDUSTRIAL,69,3
78,2019-02-20,INDUSTRIAL,1962,127
79,2019-02-06,INDUSTRIAL,98,33
80,2019-02-05,INDUSTRIAL,654,42
81,2020-03-21,INDUSTRIAL,616,177
82,2019-01-10,INDUSTRIAL,40,51
83,2019-01-31,INDUSTRIAL,2250,83
84,2020-03-22,INDUSTRIAL,6,120
85,2021-07-07,INDUSTRIAL,3600,209
86,2019-03-13,INDUSTRIAL,1766,46
87,2019-06-27,INDUSTRIAL,4288,131
88,2019-03-13,INDUSTRIAL,1883,41
89,2019-02-28,INDUSTRIAL,260,89
91,2019-02-05,INDUSTRIAL,1718,79
92,2019-01-29,INDUSTRIAL,736,5
93,2019-05-30,INDUSTRIAL,5220,161
94,2019-09-14,INDUSTRIAL,9149,149
95,2019-02-01,INDUSTRIAL,71,97
97,2019-02-22,INDUSTRIAL,215,74
98,2019-10-22,INDUSTRIAL,1951,156
99,2019-03-18,INDUSTRIAL,560,59
100,2019-02-27,INDUSTRIAL,38,91
101,2019-01-09,INDUSTRIAL,507,54
103,2019-01-25,INDUSTRIAL,73,86
106,2019-02-06,INDUSTRIAL,6,37
107,2019-02-23,INDUSTRIAL,409,94
108,2019-02-19,INDUSTRIAL,910,77
109,2019-03-05,INDUSTRIAL,85,39
111,2019-02-17,INDUSTRIAL,24,84
112,2019-08-01,INDUSTRIAL,92,121
113,2019-02-28,INDUSTRIAL,2826,107
115,2019-03-17,INDUSTRIAL,4023,101
116,2019-03-26,INDUSTRIAL,1205,103
117,2019-02-27,INDUSTRIAL,603,4
119,2019-09-20,INDUSTRIAL,940,142
120,2019-03-20,INDUSTRIAL,174,50
121,2019-02-03,INDUSTRIAL,75,38
122,2019-02-03,INDUSTRIAL,944,1
123,2019-09-17,INDUSTRIAL,2804,148
124,2020-04-17,INDUSTRIAL,143,182
125,2019-09-08,INDUSTRIAL,25,139
126,2019-05-24,INDUSTRIAL,111,108
127,2019-01-25,INDUSTRIAL,53,102
129,2019-02-10,INDUSTRIAL,32,66
130,2019-03-15,INDUSTRIAL,817,75
131,2019-02-28,INDUSTRIAL,2553,30
132,2020-03-31,INDUSTRIAL,54,152
133,2019-01-23,INDUSTRIAL,896,60
135,2019-02-25,INDUSTRIAL,19,32
136,2019-04-27,INDUSTRIAL,58,3
137,2019-02-13,INDUSTRIAL,1868,127
138,2019-02-10,INDUSTRIAL,35,33
139,2019-02-09,INDUSTRIAL,4,44
140,2020-03-02,INDUSTRIAL,134,177
141,2019-01-17,INDUSTRIAL,50,51
142,2019-01-22,INDUSTRIAL,2178,83
143,2020-03-24,INDUSTRIAL,3,120
144,2021-07-01,INDUSTRIAL,3690,209
145,2019-03-25,INDUSTRIAL,1613,46
146,2019-06-03,INDUSTRIAL,5826,131
147,2019-03-19,INDUSTRIAL,1975,41
148,2019-02-26,INDUSTRIAL,193,89
150,2019-02-11,INDUSTRIAL,1820,79
151,2019-01-04,INDUSTRIAL,591,5
152,2019-05-28,INDUSTRIAL,5217,161
154,2019-02-27,INDUSTRIAL,198,97
156,2019-02-23,INDUSTRIAL,133,74
157,2019-10-10,INDUSTRIAL,2373,156
158,2019-03-13,INDUSTRIAL,205,59
159,2019-02-22,INDUSTRIAL,25,91
160,2019-01-02,INDUSTRIAL,1618,54
162,2019-01-24,INDUSTRIAL,110,86
165,2019-02-17,INDUSTRIAL,18,37
166,2019-02-20,INDUSTRIAL,60,94
167,2019-02-01,INDUSTRIAL,916,77
168,2019-03-12,INDUSTRIAL,63,39
170,2019-02-18,INDUSTRIAL,159,84
171,2019-08-11,INDUSTRIAL,3,121
172,2019-02-26,INDUSTRIAL,1758,107
174,2019-03-23,INDUSTRIAL,4077,101
175,2019-03-15,INDUSTRIAL,1220,103
176,2019-02-24,INDUSTRIAL,128,4
178,2019-09-17,INDUSTRIAL,1415,142
179,2019-03-10,INDUSTRIAL,173,50
180,2019-02-14,INDUSTRIAL,66,38
181,2019-02-10,INDUSTRIAL,744,1
182,2019-09-27,INDUSTRIAL,2726,148
183,2020-04-29,INDUSTRIAL,147,182
184,2019-09-29,INDUSTRIAL,51,139
185,2019-05-30,INDUSTRIAL,181,108
186,2019-01-16,INDUSTRIAL,38,102
188,2019-02-22,INDUSTRIAL,75,66
189,2019-03-18,INDUSTRIAL,803,75
190,2019-02-27,INDUSTRIAL,2858,30
191,2020-03-21,INDUSTRIAL,60,152
192,2019-01-18,INDUSTRIAL,634,60
194,2019-02-27,INDUSTRIAL,3,32
195,2019-08-13,INDUSTRIAL,21,3
196,2019-02-19,INDUSTRIAL,2887,127
197,2019-02-24,INDUSTRIAL,6,33
198,2019-02-01,INDUSTRIAL,10,44
199,2020-03-07,INDUSTRIAL,16,177
200,2019-01-24,INDUSTRIAL,17,51
201,2019-01-23,INDUSTRIAL,1024,83
202,2020-03-11,INDUSTRIAL,21,120
203,2021-07-02,INDUSTRIAL,10260,209
204,2019-03-16,INDUSTRIAL,2017,46
205,2019-06-19,INDUSTRIAL,5420,131
206,2019-03-11,INDUSTRIAL,1887,41
207,2019-02-11,INDUSTRIAL,211,89
209,2019-02-13,INDUSTRIAL,1825,79
210,2019-01-07,INDUSTRIAL,541,5
211,2019-05-24,INDUSTRIAL,2936,161
213,2019-02-09,INDUSTRIAL,6,97
214,2019-03-10,INDUSTRIAL,4952,62
215,2019-02-28,INDUSTRIAL,112,74
216,2019-10-20,INDUSTRIAL,133,156
217,2019-03-31,INDUSTRIAL,972,59
218,2019-02-15,INDUSTRIAL,52,91
219,2019-01-15,INDUSTRIAL,753,54
221,2019-01-04,INDUSTRIAL,2708,223
222,2019-01-11,INDUSTRIAL,39,67
224,2019-02-10,INDUSTRIAL,4,37
225,2019-02-18,INDUSTRIAL,759,78
226,2019-02-11,INDUSTRIAL,3623,52
227,2019-03-24,INDUSTRIAL,235,39
229,2019-02-15,INDUSTRIAL,250,84
230,2019-08-06,INDUSTRIAL,150,121
231,2019-02-23,INDUSTRIAL,734,107
233,2019-03-24,INDUSTRIAL,3085,101
234,2019-03-25,INDUSTRIAL,1222,103
235,2019-02-04,INDUSTRIAL,13,4
237,2019-09-30,INDUSTRIAL,2885,142
238,2019-03-27,INDUSTRIAL,177,50
239,2019-02-07,INDUSTRIAL,61,38
240,2019-02-25,INDUSTRIAL,760,1
241,2019-09-20,INDUSTRIAL,2682,148
242,2020-04-14,INDUSTRIAL,567,182
243,2019-09-25,INDUSTRIAL,2958,139
244,2019-05-07,INDUSTRIAL,256,108
245,2019-01-18,INDUSTRIAL,57,102
247,2019-02-19,INDUSTRIAL,192,66
248,2019-03-22,INDUSTRIAL,810,75
249,2019-02-12,INDUSTRIAL,2680,30
250,2020-03-16,INDUSTRIAL,61,152
251,2019-01-04,INDUSTRIAL,715,60
253,2019-02-20,INDUSTRIAL,13,32
254,2019-08-14,INDUSTRIAL,11,3
255,2019-02-14,INDUSTRIAL,2182,127
256,2019-02-20,INDUSTRIAL,96,33
257,2019-02-11,INDUSTRIAL,8719,42
258,2020-03-10,INDUSTRIAL,338,177
259,2019-01-14,INDUSTRIAL,10,51
260,2019-01-28,INDUSTRIAL,1140,83
261,2020-03-18,INDUSTRIAL,12,120
262,2021-07-06,INDUSTRIAL,5270,209
263,2019-03-29,INDUSTRIAL,1748,46
264,2019-06-20,INDUSTRIAL,4587,131
265,2019-03-23,INDUSTRIAL,1870,41
266,2019-02-20,INDUSTRIAL,634,89
268,2019-02-10,INDUSTRIAL,38,79
269,2019-01-03,INDUSTRIAL,537,5
270,2019-05-29,INDUSTRIAL,5488,161
272,2019-02-11,INDUSTRIAL,278,97
273,2019-03-03,INDUSTRIAL,4459,62
274,2019-02-21,INDUSTRIAL,434,74
275,2019-10-23,INDUSTRIAL,2615,156
276,2019-03-26,INDUSTRIAL,821,59
277,2019-02-24,INDUSTRIAL,2,91
278,2019-01-08,INDUSTRIAL,652,54
280,2019-01-11,INDUSTRIAL,4663,223
281,2019-01-01,INDUSTRIAL,22,67
283,2019-02-05,INDUSTRIAL,9,37
284,2019-02-16,INDUSTRIAL,44,94
285,2019-02-10,INDUSTRIAL,3376,52
286,2019-03-30,INDUSTRIAL,73,39
288,2019-02-11,INDUSTRIAL,247,84
289,2019-08-31,INDUSTRIAL,4,121
290,2019-02-16,INDUSTRIAL,545,107
292,2019-03-25,INDUSTRIAL,4105,101
293,2019-03-29,INDUSTRIAL,42,103
294,2019-02-18,INDUSTRIAL,1,4
296,2019-09-15,INDUSTRIAL,18,142
297,2019-03-12,INDUSTRIAL,173,50
298,2019-02-26,INDUSTRIAL,89,38
299,2019-02-06,INDUSTRIAL,741,1
300,2019-09-28,INDUSTRIAL,503,148
301,2020-04-23,INDUSTRIAL,151,182
302,2019-09-15,INDUSTRIAL,29,139
303,2019-05-26,INDUSTRIAL,236,108
304,2019-01-22,INDUSTRIAL,89,102
306,2019-02-20,INDUSTRIAL,110,66
307,2019-03-27,INDUSTRIAL,816,75
308,2019-02-21,INDUSTRIAL,2774,30
309,2020-03-13,INDUSTRIAL,68,152
310,2019-01-09,INDUSTRIAL,635,60
312,2019-02-21,INDUSTRIAL,3,32
313,2019-08-12,INDUSTRIAL,12,3
314,2019-02-15,INDUSTRIAL,1937,127
315,2019-02-17,INDUSTRIAL,16,33
316,2019-02-15,INDUSTRIAL,4254,42
317,2020-03-04,INDUSTRIAL,3,177
318,2019-01-21,INDUSTRIAL,15,51
319,2019-01-16,INDUSTRIAL,3143,83
320,2020-03-15,INDUSTRIAL,19,120
321,2021-07-04,INDUSTRIAL,4260,209
322,2019-03-17,INDUSTRIAL,1258,46
323,2019-06-04,INDUSTRIAL,4206,131
324,2019-03-18,INDUSTRIAL,1962,41
325,2019-02-17,INDUSTRIAL,332,89
326,2019-01-27,INDUSTRIAL,8992,0
327,2019-02-24,INDUSTRIAL,50,79
328,2019-01-26,INDUSTRIAL,6012,5
329,2019-05-27,INDUSTRIAL,4606,161
331,2019-02-25,INDUSTRIAL,324,97
332,2019-03-02,INDUSTRIAL,4824,62
333,2019-04-30,INDUSTRIAL,25,74
334,2019-10-13,INDUSTRIAL,387,156
335,2019-03-30,INDUSTRIAL,704,59
336,2019-02-04,INDUSTRIAL,23,91
337,2019-01-16,INDUSTRIAL,727,54
339,2019-01-05,INDUSTRIAL,891,223
340,2019-01-03,INDUSTRIAL,111,67
342,2019-02-13,INDUSTRIAL,7,37
343,2019-02-25,INDUSTRIAL,91,94
344,2019-02-02,INDUSTRIAL,4081,52
345,2019-03-27,INDUSTRIAL,85,39
347,2019-02-14,INDUSTRIAL,254,84
348,2019-08-19,INDUSTRIAL,95,121
349,2019-02-21,INDUSTRIAL,2191,107
351,2019-03-20,INDUSTRIAL,4574,101
352,2019-03-30,INDUSTRIAL,1227,103
353,2019-02-23,INDUSTRIAL,405,4
355,2019-09-23,INDUSTRIAL,67,142
356,2019-03-31,INDUSTRIAL,170,50
357,2019-02-22,INDUSTRIAL,96,38
358,2019-02-24,INDUSTRIAL,894,1
359,2019-09-15,INDUSTRIAL,466,148
360,2020-04-28,INDUSTRIAL,20,182
361,2019-09-24,INDUSTRIAL,2902,139
362,2019-05-27,INDUSTRIAL,121,108
363,2019-01-17,INDUSTRIAL,43,102
365,2019-02-09,INDUSTRIAL,126,66
366,2019-03-25,INDUSTRIAL,819,75
367,2019-02-23,INDUSTRIAL,111,30
368,2020-03-03,INDUSTRIAL,71,152
369,2019-01-13,INDUSTRIAL,644,60
371,2019-02-28,INDUSTRIAL,11,32
372,2019-10-04,INDUSTRIAL,27,3
373,2019-02-28,INDUSTRIAL,2463,127
374,2019-02-28,INDUSTRIAL,90,33
375,2019-02-13,INDUSTRIAL,8765,42
376,2020-03-03,INDUSTRIAL,2,177
377,2019-01-15,INDUSTRIAL,12,51
378,2019-01-26,INDUSTRIAL,714,83
379,2020-03-12,INDUSTRIAL,27,120
381,2019-03-22,INDUSTRIAL,1665,46
382,2019-06-30,INDUSTRIAL,1842,131
383,2019-03-31,INDUSTRIAL,984,41
384,2019-02-24,INDUSTRIAL,269,89
386,2019-02-23,INDUSTRIAL,155,79
387,2019-01-14,INDUSTRIAL,655,5
388,2019-05-25,INDUSTRIAL,3808,161
390,2019-02-19,INDUSTRIAL,198,97
392,2019-04-09,INDUSTRIAL,247,74
393,2019-10-21,INDUSTRIAL,3106,156
394,2019-03-28,INDUSTRIAL,661,59
395,2019-02-09,INDUSTRIAL,15,91
396,2019-01-28,INDUSTRIAL,863,54
398,2019-01-02,INDUSTRIAL,1804,223
399,2019-01-09,INDUSTRIAL,7,67
401,2019-02-19,INDUSTRIAL,6,37
402,2019-02-18,INDUSTRIAL,62,94
403,2019-02-03,INDUSTRIAL,4326,52
404,2019-03-29,INDUSTRIAL,112,39
406,2019-02-08,INDUSTRIAL,336,84
407,2019-08-25,INDUSTRIAL,3,121
408,2019-02-11,INDUSTRIAL,3765,107
410,2019-03-12,INDUSTRIAL,3336,101
411,2019-03-22,INDUSTRIAL,1219,103
412,2019-02-21,INDUSTRIAL,1349,4
414,2019-09-22,INDUSTRIAL,29,142
415,2019-03-22,INDUSTRIAL,160,50
416,2019-02-10,INDUSTRIAL,83,38
417,2019-02-21,INDUSTRIAL,656,1
418,2019-09-16,INDUSTRIAL,3092,148
419,2020-04-20,INDUSTRIAL,1450,182
420,2019-09-13,INDUSTRIAL,2951,139
421,2019-05-04,INDUSTRIAL,112,108
422,2019-01-23,INDUSTRIAL,44,102
424,2019-02-23,INDUSTRIAL,184,66
425,2019-03-30,INDUSTRIAL,817,75
426,2019-02-13,INDUSTRIAL,2569,30
427,2020-03-28,INDUSTRIAL,65,152
428,2019-01-07,INDUSTRIAL,646,60
430,2019-02-12,INDUSTRIAL,2,32
431,2020-09-09,INDUSTRIAL,3,3
432,2019-02-21,INDUSTRIAL,901,127
433,2019-02-05,INDUSTRIAL,48,33
434,2019-02-07,INDUSTRIAL,8819,42
435,2020-03-12,INDUSTRIAL,8,177
436,2019-01-23,INDUSTRIAL,8,51
437,2019-01-14,INDUSTRIAL,1986,83
438,2020-03-19,INDUSTRIAL,14,120
439,2021-07-30,INDUSTRIAL,8400,209
440,2019-03-10,INDUSTRIAL,1502,46
441,2019-06-26,INDUSTRIAL,4965,131
442,2019-03-29,INDUSTRIAL,6400,82
443,2019-02-22,INDUSTRIAL,218,89
445,2019-02-14,INDUSTRIAL,1558,79
446,2019-01-06,INDUSTRIAL,101,5
447,2019-05-26,INDUSTRIAL,1198,161
448,2019-09-26,INDUSTRIAL,9782,149
449,2019-02-16,INDUSTRIAL,1,97
451,2019-04-08,INDUSTRIAL,248,74
452,2019-10-19,INDUSTRIAL,140,156
453,2019-03-15,INDUSTRIAL,471,59
454,2019-02-02,INDUSTRIAL,253,91
455,2019-01-24,INDUSTRIAL,1056,54
457,2019-01-21,INDUSTRIAL,3062,223
458,2019-01-19,INDUSTRIAL,4916,69
460,2019-02-27,INDUSTRIAL,15,37
461,2019-02-06,INDUSTRIAL,19,94
462,2019-02-07,INDUSTRIAL,2711,52
463,2019-03-31,INDUSTRIAL,96,39
465,2019-02-04,INDUSTRIAL,295,84
466,2019-08-14,INDUSTRIAL,109,121
467,2019-02-15,INDUSTRIAL,1555,107
469,2019-03-09,INDUSTRIAL,3458,101
470,2019-03-20,INDUSTRIAL,1033,103
471,2019-02-26,INDUSTRIAL,236,4
473,2019-09-27,INDUSTRIAL,990,142
474,2019-03-08,INDUSTRIAL,159,50
475,2019-02-18,INDUSTRIAL,47,38
476,2019-02-08,INDUSTRIAL,746,1
477,2019-09-21,INDUSTRIAL,1613,148
478,2020-04-30,INDUSTRIAL,215,182
479,2019-09-28,INDUSTRIAL,2967,139
480,2019-05-25,INDUSTRIAL,193,108
481,2019-01-20,INDUSTRIAL,24,102
483,2019-02-26,INDUSTRIAL,157,66
484,2019-03-04,INDUSTRIAL,820,75
485,2019-02-16,INDUSTRIAL,112,30
486,2020-03-08,INDUSTRIAL,70,152
487,2019-01-10,INDUSTRIAL,877,60
489,2019-02-18,INDUSTRIAL,10,32
490,2020-09-16,INDUSTRIAL,7,3
491,2019-02-26,INDUSTRIAL,2483,127
492,2019-02-21,INDUSTRIAL,98,33
493,2019-02-26,INDUSTRIAL,8782,42
494,2020-03-05,INDUSTRIAL,368,177
495,2019-01-31,INDUSTRIAL,7,51
496,2019-01-24,INDUSTRIAL,2868,83
497,2020-03-17,INDUSTRIAL,7,120
498,2021-07-31,INDUSTRIAL,6940,209
499,2019-03-30,INDUSTRIAL,1146,46
500,2019-06-12,INDUSTRIAL,1008,131
501,2019-03-07,INDUSTRIAL,1317,90
502,2019-02-23,INDUSTRIAL,309,89
504,2019-02-09,INDUSTRIAL,130,79
505,2019-01-11,INDUSTRIAL,525,5
506,2019-08-18,INDUSTRIAL,5587,161
508,2019-02-06,INDUSTRIAL,142,97
509,2019-03-17,INDUSTRIAL,7095,62
510,2019-04-18,INDUSTRIAL,90,74
511,2019-10-28,INDUSTRIAL,2381,156
512,2019-03-27,INDUSTRIAL,612,59
513,2019-02-03,INDUSTRIAL,44,91
514,2019-01-22,INDUSTRIAL,1301,54
516,2019-01-10,INDUSTRIAL,298,223
517,2019-01-30,INDUSTRIAL,1524,69
519,2019-02-21,INDUSTRIAL,17,37
520,2019-02-19,INDUSTRIAL,8,94
521,2019-02-05,INDUSTRIAL,3321,52
522,2019-03-31,INDUSTRIAL,372,35
524,2019-02-28,INDUSTRIAL,255,84
525,2019-08-16,INDUSTRIAL,97,121
526,2019-02-18,INDUSTRIAL,2378,107
528,2019-03-03,INDUSTRIAL,2880,101
529,2019-03-13,INDUSTRIAL,1660,103
530,2019-02-19,INDUSTRIAL,176,4
532,2019-09-29,INDUSTRIAL,11,142
533,2019-03-03,INDUSTRIAL,128,50
534,2019-02-21,INDUSTRIAL,40,38
535,2019-02-05,INDUSTRIAL,949,1
536,2019-09-24,INDUSTRIAL,672,148
537,2020-04-27,INDUSTRIAL,34,182
538,2019-09-21,INDUSTRIAL,2938,139
539,2019-05-28,INDUSTRIAL,109,108
540,2019-01-15,INDUSTRIAL,17,102
542,2019-02-02,INDUSTRIAL,119,66
543,2019-03-29,INDUSTRIAL,819,75
544,2019-02-26,INDUSTRIAL,2681,30
545,2020-03-14,INDUSTRIAL,64,152
546,2019-01-08,INDUSTRIAL,769,60
548,2019-02-13,INDUSTRIAL,11,32
549,2021-01-06,INDUSTRIAL,1,3
550,2019-02-18,INDUSTRIAL,2430,127
551,2019-02-25,INDUSTRIAL,55,33
552,2019-02-20,INDUSTRIAL,8815,42
553,2020-03-16,INDUSTRIAL,88,190
555,2019-01-30,INDUSTRIAL,2003,83
556,2020-03-13,INDUSTRIAL,29,120
557,2021-07-03,INDUSTRIAL,4280,209
558,2019-03-24,INDUSTRIAL,1557,46
559,2019-06-15,INDUSTRIAL,1165,131
560,2019-03-10,INDUSTRIAL,1644,90
561,2019-02-13,INDUSTRIAL,269,89
562,2019-01-26,INDUSTRIAL,8700,0
563,2019-02-08,INDUSTRIAL,1477,79
564,2019-01-02,INDUSTRIAL,560,5
565,2019-08-25,INDUSTRIAL,5912,161
567,2019-02-28,INDUSTRIAL,251,97
568,2019-03-09,INDUSTRIAL,5370,62
569,2019-04-12,INDUSTRIAL,61,74
570,2019-10-18,INDUSTRIAL,1069,156
571,2019-03-21,INDUSTRIAL,423,59
572,2019-06-25,INDUSTRIAL,336,91
573,2019-01-29,INDUSTRIAL,651,54
575,2019-01-09,INDUSTRIAL,10300,223
576,2019-01-15,INDUSTRIAL,4893,69
578,2019-02-18,INDUSTRIAL,4,37
579,2019-02-09,INDUSTRIAL,40,94
580,2019-02-15,INDUSTRIAL,4077,52
581,2019-03-13,INDUSTRIAL,679,35
583,2019-02-10,INDUSTRIAL,25,84
584,2019-08-04,INDUSTRIAL,3,121
585,2019-02-17,INDUSTRIAL,556,107
587,2019-03-15,INDUSTRIAL,3878,101
588,2019-03-21,INDUSTRIAL,213,103
589,2019-02-20,INDUSTRIAL,2723,4
591,2019-09-26,INDUSTRIAL,792,142
592,2019-03-18,INDUSTRIAL,144,50
593,2019-02-28,INDUSTRIAL,57,38
594,2019-02-16,INDUSTRIAL,592,1
595,2019-09-30,INDUSTRIAL,3840,148
596,2020-04-24,INDUSTRIAL,314,182
597,2019-09-19,INDUSTRIAL,2969,139
598,2019-05-21,INDUSTRIAL,110,108
599,2019-01-31,INDUSTRIAL,70,102
601,2019-02-17,INDUSTRIAL,320,31
602,2019-03-28,INDUSTRIAL,823,75
603,2019-02-15,INDUSTRIAL,2740,30
604,2020-03-06,INDUSTRIAL,69,152
605,2019-01-11,INDUSTRIAL,781,60
607,2019-02-11,INDUSTRIAL,21,32
608,2021-01-11,INDUSTRIAL,113,3
609,2019-02-25,INDUSTRIAL,2399,127
610,2019-02-11,INDUSTRIAL,80,33
611,2019-02-16,INDUSTRIAL,4213,42
612,2020-03-22,INDUSTRIAL,99,190
614,2019-01-18,INDUSTRIAL,4994,83
615,2020-03-09,INDUSTRIAL,26,120
616,2021-08-16,INDUSTRIAL,4840,209
617,2019-03-26,INDUSTRIAL,3038,46
618,2019-06-01,INDUSTRIAL,863,131
619,2019-03-18,INDUSTRIAL,1546,90
620,2019-02-25,INDUSTRIAL,600,89
621,2019-01-19,INDUSTRIAL,8804,0
622,2019-02-06,INDUSTRIAL,1731,79
623,2019-01-17,INDUSTRIAL,3804,5
624,2019-08-22,INDUSTRIAL,5630,161
626,2019-02-22,INDUSTRIAL,429,97
628,2019-04-19,INDUSTRIAL,449,74
629,2019-10-14,INDUSTRIAL,2017,156
630,2019-03-24,INDUSTRIAL,570,59
631,2019-06-26,INDUSTRIAL,380,91
632,2019-01-23,INDUSTRIAL,2903,54
634,2019-01-20,INDUSTRIAL,608,223
635,2019-01-16,INDUSTRIAL,7883,69
637,2019-02-01,INDUSTRIAL,9,37
638,2019-02-15,INDUSTRIAL,4,94
639,2019-02-04,INDUSTRIAL,2920,52
640,2019-03-20,INDUSTRIAL,636,35
642,2019-02-23,INDUSTRIAL,45,84
643,2019-08-12,INDUSTRIAL,110,121
644,2019-02-13,INDUSTRIAL,1506,107
646,2019-03-16,INDUSTRIAL,3841,101
647,2019-06-20,INDUSTRIAL,1175,103
648,2019-02-28,INDUSTRIAL,94,4
650,2019-09-25,INDUSTRIAL,1612,142
651,2019-03-26,INDUSTRIAL,146,50
652,2019-02-09,INDUSTRIAL,59,38
653,2019-02-13,INDUSTRIAL,867,1
654,2019-09-29,INDUSTRIAL,526,148
655,2020-04-21,INDUSTRIAL,65,182
656,2019-09-09,INDUSTRIAL,2962,139
657,2019-05-02,INDUSTRIAL,136,108
658,2019-01-29,INDUSTRIAL,38,102
660,2019-02-02,INDUSTRIAL,324,31
661,2019-03-07,INDUSTRIAL,813,75
