,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-07-15,INDUSTRIAL,1159,8
1,2021-12-07,INDUSTRIAL,270290,5
2,2020-09-14,INDUSTRIAL,288,3
3,2021-03-08,INDUSTRIAL,316000,5
4,2021-09-04,INDUSTRIAL,159170,6
5,2020-11-12,INDUSTRIAL,340740,5
6,2021-01-31,INDUSTRIAL,371,1
7,2020-08-03,INDUSTRIAL,50401,0
8,2021-07-07,INDUSTRIAL,2682,4
9,2020-09-15,INDUSTRIAL,4,1
10,2019-05-10,INDUSTRIAL,4699,0
11,2020-09-14,INDUSTRIAL,299110,5
12,2020-09-12,INDUSTRIAL,216820,5
13,2020-07-31,INDUSTRIAL,383330,5
14,2020-10-01,INDUSTRIAL,152400,7
15,2020-09-02,INDUSTRIAL,249590,5
16,2021-02-08,INDUSTRIAL,314360,5
17,2020-08-01,INDUSTRIAL,146,3
18,2020-09-13,INDUSTRIAL,380820,5
19,2020-10-28,INDUSTRIAL,175870,6
20,2019-07-10,INDUSTRIAL,155,1
21,2021-11-21,INDUSTRIAL,80180,6
22,2021-07-09,INDUSTRIAL,267900,6
23,2021-07-04,INDUSTRIAL,425,1
24,2020-09-15,INDUSTRIAL,207,3
25,2020-09-16,INDUSTRIAL,19813,0
26,2021-08-10,INDUSTRIAL,203400,7
27,2021-03-16,INDUSTRIAL,4441,4
28,2019-03-10,INDUSTRIAL,147920,6
29,2021-04-22,INDUSTRIAL,3708,4
30,2021-08-31,INDUSTRIAL,136100,7
31,2020-10-01,INDUSTRIAL,270400,5
32,2020-09-15,INDUSTRIAL,7265,0
33,2020-09-15,INDUSTRIAL,176000,7
34,2019-09-08,INDUSTRIAL,4738,4
35,2019-07-16,INDUSTRIAL,519,3
36,2021-11-09,INDUSTRIAL,456,1
37,2021-07-04,INDUSTRIAL,188600,7
38,2021-10-07,INDUSTRIAL,305620,5
39,2021-08-30,INDUSTRIAL,53,2
40,2020-07-27,INDUSTRIAL,393000,7
41,2021-01-20,INDUSTRIAL,4,2
42,2020-10-01,INDUSTRIAL,171530,6
43,2020-09-11,INDUSTRIAL,26191,0
44,2019-09-03,INDUSTRIAL,127000,7
45,2019-03-12,INDUSTRIAL,287190,5
46,2021-01-06,INDUSTRIAL,337310,5
47,2021-03-14,INDUSTRIAL,246,3
48,2021-01-31,INDUSTRIAL,87800,7
49,2020-12-09,INDUSTRIAL,164640,6
50,2020-06-26,INDUSTRIAL,294,2
51,2020-12-22,INDUSTRIAL,149,3
53,2020-08-11,INDUSTRIAL,323500,6
54,2021-12-03,INDUSTRIAL,25,2
55,2021-10-02,INDUSTRIAL,123,3
56,2021-04-08,INDUSTRIAL,5,3
57,2021-07-14,INDUSTRIAL,4354,8
58,2021-12-06,INDUSTRIAL,231760,5
59,2021-09-03,INDUSTRIAL,541,1
60,2021-03-07,INDUSTRIAL,337440,5
61,2021-08-07,INDUSTRIAL,232300,6
62,2020-11-14,INDUSTRIAL,331630,5
63,2021-01-30,INDUSTRIAL,519,1
64,2020-08-02,INDUSTRIAL,52052,0
65,2021-07-06,INDUSTRIAL,2039,4
66,2019-05-12,INDUSTRIAL,7149,0
67,2021-04-12,INDUSTRIAL,92200,7
68,2020-10-01,INDUSTRIAL,37,3
69,2020-08-11,INDUSTRIAL,356520,5
70,2020-09-17,INDUSTRIAL,182500,7
71,2020-09-08,INDUSTRIAL,228200,5
72,2021-02-07,INDUSTRIAL,326130,5
73,2020-08-02,INDUSTRIAL,294,3
74,2020-09-10,INDUSTRIAL,306,3
75,2020-10-31,INDUSTRIAL,156600,6
76,2019-07-06,INDUSTRIAL,289,1
77,2021-11-20,INDUSTRIAL,112190,6
78,2021-07-08,INDUSTRIAL,269350,6
79,2021-07-03,INDUSTRIAL,550,1
80,2021-09-22,INDUSTRIAL,126340,6
81,2020-09-11,INDUSTRIAL,304,1
82,2021-08-09,INDUSTRIAL,185200,7
83,2021-03-11,INDUSTRIAL,3855,4
84,2019-03-09,INDUSTRIAL,139890,6
85,2021-04-24,INDUSTRIAL,4764,4
