,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-10-19,INDUSTRIAL,7,63
1,2019-10-20,INDUSTRIAL,1484,15
2,2019-10-22,INDUSTRIAL,377,1
3,2019-10-25,INDUSTRIAL,180,23
4,2020-12-13,INDUSTRIAL,930,75
5,2019-10-30,INDUSTRIAL,4,2
6,2019-11-25,INDUSTRIAL,150,39
7,2019-11-24,INDUSTRIAL,4,59
10,2019-10-16,INDUSTRIAL,3,16
11,2019-11-29,INDUSTRIAL,363,32
13,2019-10-19,INDUSTRIAL,778,26
14,2019-10-31,INDUSTRIAL,708,31
15,2019-12-26,INDUSTRIAL,525,44
16,2019-11-19,INDUSTRIAL,4,67
17,2020-09-11,INDUSTRIAL,4,11
18,2019-12-26,INDUSTRIAL,944,33
19,2021-02-24,INDUSTRIAL,364,72
20,2019-11-03,INDUSTRIAL,12,62
21,2019-10-29,INDUSTRIAL,475,22
22,2019-11-24,INDUSTRIAL,318,0
23,2019-11-26,INDUSTRIAL,568,20
24,2019-11-22,INDUSTRIAL,274,6
25,2019-12-31,INDUSTRIAL,10,80
26,2019-12-14,INDUSTRIAL,1,36
27,2019-11-12,INDUSTRIAL,15,34
28,2019-10-22,INDUSTRIAL,906,17
29,2019-11-30,INDUSTRIAL,580,27
30,2019-11-25,INDUSTRIAL,31,35
31,2019-12-01,INDUSTRIAL,20,37
33,2021-06-23,INDUSTRIAL,644,77
34,2019-11-15,INDUSTRIAL,2380,53
35,2021-10-22,INDUSTRIAL,19,83
36,2019-11-29,INDUSTRIAL,605,24
37,2019-12-25,INDUSTRIAL,446,29
38,2019-10-19,INDUSTRIAL,29,30
39,2019-11-21,INDUSTRIAL,3,18
40,2019-10-31,INDUSTRIAL,29,57
42,2019-11-28,INDUSTRIAL,220,41
43,2019-11-26,INDUSTRIAL,1645,51
44,2019-10-24,INDUSTRIAL,98,61
45,2020-02-21,INDUSTRIAL,1040,10
46,2019-10-24,INDUSTRIAL,5,63
47,2019-10-22,INDUSTRIAL,500,15
48,2019-10-21,INDUSTRIAL,2,1
49,2019-10-23,INDUSTRIAL,395,23
50,2020-12-06,INDUSTRIAL,790,75
51,2019-11-11,INDUSTRIAL,25,2
52,2019-11-28,INDUSTRIAL,301,39
53,2019-11-22,INDUSTRIAL,37,59
54,2020-07-25,INDUSTRIAL,416,46
55,2019-11-16,INDUSTRIAL,17,13
56,2019-11-29,INDUSTRIAL,18,16
57,2019-11-30,INDUSTRIAL,141,32
58,2020-08-17,INDUSTRIAL,389,8
59,2019-10-24,INDUSTRIAL,345,26
60,2019-10-19,INDUSTRIAL,1085,31
61,2019-12-29,INDUSTRIAL,775,44
62,2019-11-20,INDUSTRIAL,4,67
63,2020-09-08,INDUSTRIAL,527,11
64,2019-12-25,INDUSTRIAL,713,33
65,2021-02-23,INDUSTRIAL,84,72
66,2019-11-20,INDUSTRIAL,118,62
67,2019-10-24,INDUSTRIAL,336,22
68,2019-11-27,INDUSTRIAL,218,0
69,2019-11-28,INDUSTRIAL,577,20
70,2019-11-22,INDUSTRIAL,7,42
71,2019-12-21,INDUSTRIAL,2076,80
72,2019-12-06,INDUSTRIAL,1,36
73,2019-11-29,INDUSTRIAL,73,34
74,2019-10-23,INDUSTRIAL,842,17
75,2019-11-28,INDUSTRIAL,238,27
76,2019-11-28,INDUSTRIAL,1207,35
77,2019-12-29,INDUSTRIAL,23,37
78,2020-09-16,INDUSTRIAL,1997,52
79,2021-07-23,INDUSTRIAL,1600,77
81,2021-10-27,INDUSTRIAL,44,83
82,2019-11-03,INDUSTRIAL,89,24
84,2019-10-28,INDUSTRIAL,20,30
85,2019-11-01,INDUSTRIAL,121,18
86,2019-10-22,INDUSTRIAL,16,57
88,2019-11-30,INDUSTRIAL,9,41
89,2019-11-24,INDUSTRIAL,6,51
90,2019-10-31,INDUSTRIAL,186,61
91,2020-02-04,INDUSTRIAL,507,10
92,2019-10-27,INDUSTRIAL,490,63
93,2019-10-18,INDUSTRIAL,1224,15
94,2019-10-28,INDUSTRIAL,1,1
95,2019-10-17,INDUSTRIAL,177,23
96,2020-12-17,INDUSTRIAL,770,75
97,2019-11-06,INDUSTRIAL,12,2
98,2019-11-26,INDUSTRIAL,403,39
99,2019-11-01,INDUSTRIAL,60,59
101,2019-11-23,INDUSTRIAL,1554,13
102,2019-11-17,INDUSTRIAL,20,16
103,2019-11-12,INDUSTRIAL,626,28
104,2020-08-18,INDUSTRIAL,1274,8
105,2019-10-29,INDUSTRIAL,345,26
106,2019-10-15,INDUSTRIAL,736,31
107,2019-12-25,INDUSTRIAL,457,44
108,2019-11-22,INDUSTRIAL,15,67
109,2020-09-07,INDUSTRIAL,304,11
110,2019-12-23,INDUSTRIAL,819,33
111,2021-03-03,INDUSTRIAL,254,72
112,2019-11-08,INDUSTRIAL,25,62
113,2019-10-16,INDUSTRIAL,436,22
114,2019-11-30,INDUSTRIAL,323,0
116,2019-12-13,INDUSTRIAL,47,42
117,2019-12-07,INDUSTRIAL,8,80
118,2019-12-23,INDUSTRIAL,1,36
119,2019-12-03,INDUSTRIAL,619,34
120,2019-10-24,INDUSTRIAL,750,17
121,2019-11-13,INDUSTRIAL,613,40
122,2019-11-27,INDUSTRIAL,560,35
123,2019-12-22,INDUSTRIAL,22,37
125,2021-07-24,INDUSTRIAL,2,77
126,2019-11-16,INDUSTRIAL,1600,53
127,2021-10-11,INDUSTRIAL,29,83
128,2019-11-30,INDUSTRIAL,824,24
130,2019-10-16,INDUSTRIAL,6,30
131,2019-11-19,INDUSTRIAL,661,18
132,2019-10-18,INDUSTRIAL,11,57
134,2019-11-27,INDUSTRIAL,34,41
135,2019-11-23,INDUSTRIAL,8,51
136,2019-10-30,INDUSTRIAL,260,61
137,2020-02-13,INDUSTRIAL,559,10
138,2019-10-20,INDUSTRIAL,503,63
139,2019-10-24,INDUSTRIAL,220,15
140,2019-10-31,INDUSTRIAL,4,1
141,2019-10-27,INDUSTRIAL,186,23
142,2020-12-15,INDUSTRIAL,880,75
143,2020-03-16,INDUSTRIAL,44,2
144,2019-11-30,INDUSTRIAL,501,39
145,2019-11-14,INDUSTRIAL,253,59
146,2020-07-26,INDUSTRIAL,469,46
148,2019-11-12,INDUSTRIAL,33,16
149,2019-12-15,INDUSTRIAL,64,28
150,2020-09-04,INDUSTRIAL,1383,8
151,2019-10-26,INDUSTRIAL,331,26
152,2019-11-25,INDUSTRIAL,812,31
153,2019-12-10,INDUSTRIAL,47,44
154,2019-11-27,INDUSTRIAL,3,67
156,2019-12-08,INDUSTRIAL,482,33
157,2021-03-04,INDUSTRIAL,343,72
158,2019-11-15,INDUSTRIAL,24,62
159,2019-10-18,INDUSTRIAL,284,22
160,2019-11-29,INDUSTRIAL,251,0
161,2019-11-25,INDUSTRIAL,256,20
162,2019-12-14,INDUSTRIAL,285,42
163,2019-12-23,INDUSTRIAL,1112,80
164,2019-12-03,INDUSTRIAL,1,36
165,2019-12-02,INDUSTRIAL,292,34
166,2019-10-30,INDUSTRIAL,704,17
167,2019-11-29,INDUSTRIAL,332,27
168,2019-11-26,INDUSTRIAL,909,35
171,2021-07-25,INDUSTRIAL,1,77
173,2021-09-29,INDUSTRIAL,53,83
174,2020-01-26,INDUSTRIAL,94,24
176,2019-10-15,INDUSTRIAL,19,30
177,2019-11-18,INDUSTRIAL,2,18
178,2019-11-06,INDUSTRIAL,3,57
180,2019-11-25,INDUSTRIAL,159,41
181,2020-01-06,INDUSTRIAL,1063,51
182,2019-10-25,INDUSTRIAL,70,61
183,2020-02-03,INDUSTRIAL,216,10
184,2019-10-28,INDUSTRIAL,9,63
185,2019-10-15,INDUSTRIAL,461,15
186,2019-11-05,INDUSTRIAL,1,1
187,2019-10-31,INDUSTRIAL,254,23
188,2020-12-22,INDUSTRIAL,1910,75
189,2020-03-10,INDUSTRIAL,4,2
190,2019-11-29,INDUSTRIAL,1713,39
191,2019-11-16,INDUSTRIAL,99,59
194,2019-11-18,INDUSTRIAL,43,16
195,2019-12-30,INDUSTRIAL,401,28
196,2020-02-02,INDUSTRIAL,49,8
197,2019-10-21,INDUSTRIAL,849,26
198,2019-11-18,INDUSTRIAL,832,31
199,2019-12-11,INDUSTRIAL,110,44
200,2019-11-24,INDUSTRIAL,9,67
201,2020-09-13,INDUSTRIAL,580,11
202,2019-12-03,INDUSTRIAL,190,33
203,2021-03-05,INDUSTRIAL,324,72
204,2019-11-23,INDUSTRIAL,61,62
205,2019-10-21,INDUSTRIAL,397,22
206,2019-11-26,INDUSTRIAL,179,0
208,2020-01-27,INDUSTRIAL,6,42
209,2019-12-15,INDUSTRIAL,1210,80
210,2019-12-25,INDUSTRIAL,1,36
211,2019-12-12,INDUSTRIAL,134,34
212,2019-10-21,INDUSTRIAL,829,17
213,2019-11-04,INDUSTRIAL,668,40
214,2019-11-29,INDUSTRIAL,703,35
215,2019-12-03,INDUSTRIAL,2301,37
217,2021-07-27,INDUSTRIAL,1334,77
219,2021-09-28,INDUSTRIAL,163,83
220,2020-01-09,INDUSTRIAL,552,24
222,2019-10-21,INDUSTRIAL,9,30
223,2019-11-05,INDUSTRIAL,127,18
224,2019-11-09,INDUSTRIAL,3,57
226,2019-12-24,INDUSTRIAL,41,41
228,2019-12-24,INDUSTRIAL,50,61
229,2020-02-29,INDUSTRIAL,251,10
230,2019-10-18,INDUSTRIAL,478,63
231,2019-10-26,INDUSTRIAL,172,15
232,2019-11-23,INDUSTRIAL,519,38
233,2019-10-16,INDUSTRIAL,156,23
234,2020-12-29,INDUSTRIAL,240,75
235,2020-05-08,INDUSTRIAL,1,2
236,2019-11-27,INDUSTRIAL,1614,39
237,2019-11-12,INDUSTRIAL,113,59
239,2019-11-17,INDUSTRIAL,791,13
240,2019-11-28,INDUSTRIAL,53,16
241,2019-12-25,INDUSTRIAL,203,32
242,2020-02-17,INDUSTRIAL,73,8
243,2019-10-25,INDUSTRIAL,573,26
244,2019-11-24,INDUSTRIAL,763,31
245,2019-12-15,INDUSTRIAL,51,44
246,2019-11-26,INDUSTRIAL,9,67
247,2020-09-12,INDUSTRIAL,68,11
248,2019-12-15,INDUSTRIAL,1049,33
249,2021-03-06,INDUSTRIAL,183,72
250,2019-11-26,INDUSTRIAL,18,62
251,2019-10-17,INDUSTRIAL,505,22
252,2019-11-28,INDUSTRIAL,201,0
253,2019-11-30,INDUSTRIAL,420,20
254,2020-01-03,INDUSTRIAL,127,42
255,2020-01-22,INDUSTRIAL,684,80
256,2020-01-14,INDUSTRIAL,1,36
257,2019-12-05,INDUSTRIAL,75,34
258,2019-10-28,INDUSTRIAL,551,17
259,2019-11-01,INDUSTRIAL,34,40
260,2019-11-30,INDUSTRIAL,2083,35
262,2020-07-04,INDUSTRIAL,1657,52
263,2021-07-21,INDUSTRIAL,2438,77
264,2019-11-09,INDUSTRIAL,1681,53
265,2021-09-30,INDUSTRIAL,1,83
266,2020-01-15,INDUSTRIAL,408,24
268,2019-10-30,INDUSTRIAL,11,30
269,2019-11-12,INDUSTRIAL,136,18
270,2019-11-25,INDUSTRIAL,2,57
272,2019-12-13,INDUSTRIAL,38,41
274,2019-12-29,INDUSTRIAL,2,61
275,2020-02-20,INDUSTRIAL,300,10
276,2019-10-15,INDUSTRIAL,480,63
277,2019-10-17,INDUSTRIAL,270,15
278,2019-11-26,INDUSTRIAL,77,38
279,2019-10-22,INDUSTRIAL,102,23
280,2020-12-24,INDUSTRIAL,1060,75
281,2020-11-13,INDUSTRIAL,1,2
282,2020-02-01,INDUSTRIAL,655,39
283,2019-11-05,INDUSTRIAL,201,59
286,2019-11-19,INDUSTRIAL,16,16
287,2019-12-18,INDUSTRIAL,360,32
288,2020-02-20,INDUSTRIAL,337,8
289,2019-10-18,INDUSTRIAL,1842,26
290,2019-11-14,INDUSTRIAL,939,31
291,2019-12-12,INDUSTRIAL,328,44
292,2020-02-20,INDUSTRIAL,72,67
293,2020-09-10,INDUSTRIAL,4,11
294,2019-12-22,INDUSTRIAL,337,33
295,2021-03-29,INDUSTRIAL,259,72
296,2019-11-16,INDUSTRIAL,57,62
297,2019-10-30,INDUSTRIAL,427,22
298,2019-11-18,INDUSTRIAL,162,0
300,2020-02-26,INDUSTRIAL,1323,6
301,2020-01-12,INDUSTRIAL,2,80
302,2020-01-08,INDUSTRIAL,1,36
303,2020-02-01,INDUSTRIAL,60,34
304,2019-10-19,INDUSTRIAL,411,17
305,2019-11-05,INDUSTRIAL,911,40
306,2019-12-14,INDUSTRIAL,1158,35
307,2019-12-05,INDUSTRIAL,2297,37
309,2021-07-22,INDUSTRIAL,2107,77
311,2021-11-22,INDUSTRIAL,44,83
312,2020-01-18,INDUSTRIAL,425,24
314,2019-10-22,INDUSTRIAL,21,30
315,2019-11-07,INDUSTRIAL,2,18
316,2019-11-30,INDUSTRIAL,3,57
318,2019-12-17,INDUSTRIAL,194,41
319,2020-01-17,INDUSTRIAL,783,51
320,2019-12-22,INDUSTRIAL,2,61
321,2020-02-27,INDUSTRIAL,1049,10
322,2019-11-10,INDUSTRIAL,486,63
323,2019-10-19,INDUSTRIAL,1125,15
324,2019-11-29,INDUSTRIAL,29,38
325,2019-10-26,INDUSTRIAL,154,23
326,2020-12-27,INDUSTRIAL,1680,75
327,2020-11-12,INDUSTRIAL,2,2
328,2020-02-15,INDUSTRIAL,659,39
329,2019-11-03,INDUSTRIAL,220,59
331,2019-11-22,INDUSTRIAL,13,13
332,2019-11-08,INDUSTRIAL,29,16
333,2019-12-08,INDUSTRIAL,32,28
334,2020-02-24,INDUSTRIAL,694,8
335,2019-10-30,INDUSTRIAL,853,26
336,2019-11-17,INDUSTRIAL,1144,31
337,2019-12-17,INDUSTRIAL,26,44
338,2020-02-21,INDUSTRIAL,3,67
339,2020-09-09,INDUSTRIAL,2,11
