,FECHA,USO,CONSUMO,ID_CONTADOR
1,2021-12-10,INDUSTRIAL,4,4
2,2021-07-14,INDUSTRIAL,3882,3
3,2021-10-10,INDUSTRIAL,620,49
4,2021-07-22,INDUSTRIAL,130,30
5,2021-07-19,INDUSTRIAL,1,10
6,2020-09-13,INDUSTRIAL,2506,39
7,2020-08-01,INDUSTRIAL,820,49
8,2019-03-20,INDUSTRIAL,184,17
9,2021-03-16,INDUSTRIAL,1,29
10,2020-01-08,INDUSTRIAL,1,22
11,2021-07-19,INDUSTRIAL,169,45
12,2020-07-14,INDUSTRIAL,63,13
13,2020-08-11,INDUSTRIAL,2,5
14,2020-11-16,INDUSTRIAL,192,26
15,2020-09-09,INDUSTRIAL,67,13
17,2020-05-29,INDUSTRIAL,4,32
18,2021-05-05,INDUSTRIAL,8,41
20,2019-09-17,INDUSTRIAL,2157,36
21,2019-12-31,INDUSTRIAL,124,26
22,2020-07-30,INDUSTRIAL,330,13
23,2020-07-26,INDUSTRIAL,1,39
24,2021-09-05,INDUSTRIAL,565,44
25,2019-08-01,INDUSTRIAL,2326,12
26,2020-07-28,INDUSTRIAL,117,35
30,2019-01-31,INDUSTRIAL,494,11
31,2020-09-01,INDUSTRIAL,280,32
32,2020-09-11,INDUSTRIAL,650,49
33,2021-11-28,INDUSTRIAL,5664,8
34,2020-12-29,INDUSTRIAL,953,4
35,2019-12-21,INDUSTRIAL,18,25
36,2019-03-22,INDUSTRIAL,4880,49
37,2021-02-27,INDUSTRIAL,135,42
38,2020-09-23,INDUSTRIAL,3500,18
39,2021-12-12,INDUSTRIAL,1416,24
40,2019-11-13,INDUSTRIAL,522,34
41,2019-11-16,INDUSTRIAL,60,35
42,2020-10-15,INDUSTRIAL,580,4
44,2020-10-29,INDUSTRIAL,4933,47
46,2020-09-23,INDUSTRIAL,3485,16
47,2020-06-07,INDUSTRIAL,3,0
48,2021-08-07,INDUSTRIAL,3260,8
49,2020-01-03,INDUSTRIAL,1678,37
50,2021-07-22,INDUSTRIAL,756,23
51,2020-06-23,INDUSTRIAL,314,5
52,2021-12-08,INDUSTRIAL,5318,8
53,2020-09-20,INDUSTRIAL,5665,9
54,2020-07-21,INDUSTRIAL,85,0
55,2020-07-26,INDUSTRIAL,4,33
56,2020-05-28,INDUSTRIAL,1346,29
59,2020-09-11,INDUSTRIAL,2718,25
61,2021-12-09,INDUSTRIAL,45,4
62,2021-07-21,INDUSTRIAL,2941,3
63,2021-10-12,INDUSTRIAL,630,49
64,2021-07-23,INDUSTRIAL,98,30
65,2021-05-31,INDUSTRIAL,8,10
66,2020-12-11,INDUSTRIAL,47,1
67,2020-08-02,INDUSTRIAL,900,49
68,2019-02-01,INDUSTRIAL,288,17
69,2021-03-14,INDUSTRIAL,852,29
70,2020-01-17,INDUSTRIAL,1,22
71,2021-07-20,INDUSTRIAL,33,45
72,2020-07-10,INDUSTRIAL,1,13
73,2020-09-11,INDUSTRIAL,258,5
75,2020-09-05,INDUSTRIAL,840,49
76,2019-11-09,INDUSTRIAL,1910,27
77,2019-10-02,INDUSTRIAL,15,32
78,2020-11-20,INDUSTRIAL,5388,18
80,2019-09-12,INDUSTRIAL,2161,36
82,2020-08-12,INDUSTRIAL,469,13
83,2020-07-24,INDUSTRIAL,1,39
84,2021-09-02,INDUSTRIAL,456,44
85,2019-08-05,INDUSTRIAL,2295,12
86,2020-07-24,INDUSTRIAL,133,35
90,2019-01-10,INDUSTRIAL,379,11
91,2020-09-08,INDUSTRIAL,8,32
92,2020-09-16,INDUSTRIAL,13,29
94,2020-12-02,INDUSTRIAL,1253,4
95,2019-12-22,INDUSTRIAL,45,25
96,2019-03-19,INDUSTRIAL,4130,49
97,2021-02-26,INDUSTRIAL,111,42
100,2019-11-06,INDUSTRIAL,862,34
101,2019-11-29,INDUSTRIAL,70,35
102,2020-10-14,INDUSTRIAL,171,4
105,2019-03-16,INDUSTRIAL,4060,15
106,2020-09-18,INDUSTRIAL,3308,16
107,2019-02-28,INDUSTRIAL,180,0
108,2021-08-23,INDUSTRIAL,2951,8
109,2020-05-12,INDUSTRIAL,34,37
110,2020-02-26,INDUSTRIAL,391,4
111,2020-06-22,INDUSTRIAL,118,5
112,2021-01-26,INDUSTRIAL,156,45
113,2020-09-30,INDUSTRIAL,4968,9
114,2020-07-22,INDUSTRIAL,141,0
116,2019-05-23,INDUSTRIAL,460,29
117,2020-12-30,INDUSTRIAL,4700,8
119,2020-09-10,INDUSTRIAL,1180,37
121,2021-12-14,INDUSTRIAL,36,4
123,2021-10-11,INDUSTRIAL,640,49
124,2021-09-04,INDUSTRIAL,18,30
125,2021-07-02,INDUSTRIAL,7,10
126,2020-12-10,INDUSTRIAL,95,1
127,2020-08-06,INDUSTRIAL,840,49
129,2021-03-13,INDUSTRIAL,211,29
130,2020-01-01,INDUSTRIAL,1,22
131,2021-07-17,INDUSTRIAL,2,45
132,2020-07-15,INDUSTRIAL,86,13
133,2020-09-12,INDUSTRIAL,173,5
134,2020-11-18,INDUSTRIAL,185,26
135,2020-09-03,INDUSTRIAL,1410,49
137,2019-10-13,INDUSTRIAL,40,32
140,2019-09-19,INDUSTRIAL,2186,36
141,2019-09-07,INDUSTRIAL,2301,26
142,2020-08-14,INDUSTRIAL,235,13
143,2020-07-24,INDUSTRIAL,91,30
144,2021-09-01,INDUSTRIAL,388,44
145,2019-08-03,INDUSTRIAL,2312,12
146,2020-08-11,INDUSTRIAL,194,35
149,2021-09-01,INDUSTRIAL,7,10
150,2019-01-29,INDUSTRIAL,512,11
151,2020-09-05,INDUSTRIAL,78,32
152,2020-09-08,INDUSTRIAL,13,29
154,2020-12-08,INDUSTRIAL,1793,4
155,2019-12-08,INDUSTRIAL,59,25
156,2019-03-11,INDUSTRIAL,2980,49
157,2021-01-31,INDUSTRIAL,19,42
