,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-10-22,INDUSTRIAL,413,90
1,2019-08-08,INDUSTRIAL,1259,140
2,2019-03-19,INDUSTRIAL,4,0
3,2019-01-22,INDUSTRIAL,116,114
4,2019-01-31,INDUSTRIAL,5,108
5,2019-01-28,INDUSTRIAL,711,67
6,2019-04-28,INDUSTRIAL,52,87
8,2019-03-09,INDUSTRIAL,138,58
9,2019-01-01,INDUSTRIAL,13,10
10,2019-01-28,INDUSTRIAL,20,70
11,2019-01-13,INDUSTRIAL,15,40
12,2019-02-22,INDUSTRIAL,147,6
13,2019-01-06,INDUSTRIAL,136,122
14,2019-02-17,INDUSTRIAL,122,9
15,2019-02-27,INDUSTRIAL,2,57
16,2019-03-11,INDUSTRIAL,29,80
17,2019-02-06,INDUSTRIAL,56,60
18,2019-02-03,INDUSTRIAL,9,42
19,2020-02-23,INDUSTRIAL,41,154
20,2021-01-08,INDUSTRIAL,3618,166
21,2020-03-15,INDUSTRIAL,273,150
22,2019-03-05,INDUSTRIAL,242,35
23,2020-09-23,INDUSTRIAL,367,13
24,2019-01-21,INDUSTRIAL,60,55
25,2019-02-12,INDUSTRIAL,163,64
26,2019-01-15,INDUSTRIAL,110,4
27,2019-03-06,INDUSTRIAL,273,61
28,2019-02-22,INDUSTRIAL,3397,97
29,2019-01-20,INDUSTRIAL,584,34
30,2019-02-24,INDUSTRIAL,89,50
31,2020-03-18,INDUSTRIAL,90,22
32,2019-03-21,INDUSTRIAL,216,85
33,2019-02-06,INDUSTRIAL,3244,116
34,2019-07-28,INDUSTRIAL,17,139
35,2019-01-15,INDUSTRIAL,172,69
36,2019-01-06,INDUSTRIAL,220,71
37,2019-02-06,INDUSTRIAL,16,81
39,2019-02-28,INDUSTRIAL,157,126
40,2019-02-06,INDUSTRIAL,84,79
42,2019-03-05,INDUSTRIAL,758,63
43,2021-10-22,INDUSTRIAL,161,189
44,2019-01-02,INDUSTRIAL,342,48
45,2019-02-10,INDUSTRIAL,834,105
46,2019-02-26,INDUSTRIAL,429,86
47,2019-07-12,INDUSTRIAL,729,129
48,2019-01-20,INDUSTRIAL,81,66
49,2019-01-13,INDUSTRIAL,66,74
50,2021-09-23,INDUSTRIAL,88,191
51,2019-02-10,INDUSTRIAL,3,59
52,2021-02-11,INDUSTRIAL,157,188
53,2019-01-12,INDUSTRIAL,87,95
54,2021-04-19,INDUSTRIAL,53,193
55,2019-01-27,INDUSTRIAL,1,8
56,2019-02-10,INDUSTRIAL,1317,52
57,2019-02-13,INDUSTRIAL,387,106
59,2020-06-19,INDUSTRIAL,155,33
60,2021-10-23,INDUSTRIAL,61,90
61,2019-08-17,INDUSTRIAL,250,140
62,2019-03-07,INDUSTRIAL,3,0
63,2019-01-04,INDUSTRIAL,80,114
64,2019-01-01,INDUSTRIAL,4,108
65,2019-01-08,INDUSTRIAL,412,67
66,2019-04-22,INDUSTRIAL,88,87
68,2019-03-05,INDUSTRIAL,407,43
69,2019-01-21,INDUSTRIAL,1609,10
70,2019-01-08,INDUSTRIAL,17,70
71,2019-01-27,INDUSTRIAL,10,40
72,2019-02-18,INDUSTRIAL,243,6
73,2019-01-20,INDUSTRIAL,253,122
74,2019-02-01,INDUSTRIAL,21,9
75,2019-02-12,INDUSTRIAL,6,57
76,2019-03-13,INDUSTRIAL,5,80
77,2019-02-05,INDUSTRIAL,43,60
78,2019-02-02,INDUSTRIAL,102,42
79,2020-02-27,INDUSTRIAL,2109,154
80,2021-01-07,INDUSTRIAL,3706,166
81,2020-03-13,INDUSTRIAL,146,150
82,2019-03-04,INDUSTRIAL,189,35
83,2019-02-06,INDUSTRIAL,1,112
84,2019-01-14,INDUSTRIAL,63,55
85,2019-02-10,INDUSTRIAL,53,36
86,2019-01-12,INDUSTRIAL,90,104
87,2019-03-09,INDUSTRIAL,353,61
88,2019-02-25,INDUSTRIAL,3308,97
89,2019-01-13,INDUSTRIAL,1277,34
90,2019-02-03,INDUSTRIAL,90,50
91,2020-03-13,INDUSTRIAL,213,22
92,2019-03-09,INDUSTRIAL,15,47
93,2019-02-10,INDUSTRIAL,188,116
94,2019-07-13,INDUSTRIAL,21,139
95,2019-01-06,INDUSTRIAL,31,72
96,2019-01-14,INDUSTRIAL,304,71
97,2019-02-27,INDUSTRIAL,39,81
99,2019-02-17,INDUSTRIAL,131,126
100,2019-02-10,INDUSTRIAL,74,79
101,2020-08-15,INDUSTRIAL,3060,135
102,2019-03-08,INDUSTRIAL,899,63
103,2021-10-23,INDUSTRIAL,158,189
104,2019-01-09,INDUSTRIAL,512,48
105,2019-02-22,INDUSTRIAL,855,105
106,2019-02-28,INDUSTRIAL,310,86
107,2019-07-09,INDUSTRIAL,555,129
108,2019-01-27,INDUSTRIAL,121,66
109,2019-01-27,INDUSTRIAL,26,74
110,2021-09-19,INDUSTRIAL,6,191
111,2019-02-12,INDUSTRIAL,419,59
112,2021-02-21,INDUSTRIAL,227,188
113,2019-01-18,INDUSTRIAL,90,95
114,2021-04-17,INDUSTRIAL,4,193
115,2019-01-01,INDUSTRIAL,14,8
116,2019-02-27,INDUSTRIAL,1097,52
117,2019-02-16,INDUSTRIAL,2896,106
119,2020-06-04,INDUSTRIAL,267,33
120,2021-10-24,INDUSTRIAL,7,90
121,2019-08-25,INDUSTRIAL,5,140
122,2019-03-01,INDUSTRIAL,15,0
123,2019-01-25,INDUSTRIAL,115,114
124,2019-01-22,INDUSTRIAL,4,108
125,2019-01-07,INDUSTRIAL,610,67
126,2019-04-14,INDUSTRIAL,29,87
128,2019-03-04,INDUSTRIAL,371,43
129,2019-01-24,INDUSTRIAL,663,10
130,2019-01-23,INDUSTRIAL,52,70
131,2019-01-30,INDUSTRIAL,328,40
132,2019-02-06,INDUSTRIAL,154,6
133,2019-01-13,INDUSTRIAL,107,122
134,2019-02-09,INDUSTRIAL,11,9
135,2019-02-07,INDUSTRIAL,4,57
136,2019-03-12,INDUSTRIAL,1,80
137,2019-02-21,INDUSTRIAL,177,60
138,2019-02-04,INDUSTRIAL,82,42
139,2020-02-26,INDUSTRIAL,3311,154
140,2021-01-04,INDUSTRIAL,3774,166
141,2020-03-11,INDUSTRIAL,102,150
142,2019-03-13,INDUSTRIAL,194,35
143,2019-02-19,INDUSTRIAL,1,112
144,2019-01-09,INDUSTRIAL,71,55
145,2019-02-17,INDUSTRIAL,28,64
146,2019-01-18,INDUSTRIAL,783,104
147,2019-03-03,INDUSTRIAL,24,61
148,2019-02-19,INDUSTRIAL,1394,97
149,2019-01-12,INDUSTRIAL,680,34
150,2019-02-05,INDUSTRIAL,115,50
151,2020-03-12,INDUSTRIAL,230,22
152,2019-03-05,INDUSTRIAL,50,47
153,2019-02-11,INDUSTRIAL,173,116
