,FECHA,USO,CONSUMO,ID_CONTADOR
0,2020-12-03,INDUSTRIAL,742,12
1,2019-02-05,INDUSTRIAL,440,192
2,2020-12-10,INDUSTRIAL,349,13
3,2019-01-13,INDUSTRIAL,652,92
4,2019-09-26,INDUSTRIAL,6412,97
5,2021-01-02,INDUSTRIAL,441,142
6,2019-09-26,INDUSTRIAL,6297,185
7,2020-12-03,INDUSTRIAL,95,55
8,2019-05-30,INDUSTRIAL,5950,95
9,2020-02-04,INDUSTRIAL,1320,43
10,2020-12-27,INDUSTRIAL,364,83
11,2020-12-29,INDUSTRIAL,158,119
12,2021-02-28,INDUSTRIAL,17,155
13,2019-03-31,INDUSTRIAL,14594,177
14,2020-12-11,INDUSTRIAL,842,115
15,2019-03-25,INDUSTRIAL,30,189
16,2021-01-19,INDUSTRIAL,59,114
17,2020-12-02,INDUSTRIAL,24,131
18,2020-07-22,INDUSTRIAL,587,204
19,2019-02-25,INDUSTRIAL,30,191
20,2019-02-27,INDUSTRIAL,14590,183
21,2021-02-01,INDUSTRIAL,5,17
22,2020-12-24,INDUSTRIAL,754,156
23,2019-06-19,INDUSTRIAL,8249,116
25,2020-12-10,INDUSTRIAL,35,126
26,2019-02-17,INDUSTRIAL,14502,94
28,2020-12-11,INDUSTRIAL,216,21
29,2019-08-18,INDUSTRIAL,520,195
30,2020-12-05,INDUSTRIAL,185,98
31,2019-07-30,INDUSTRIAL,211,90
32,2019-01-03,INDUSTRIAL,99,89
33,2021-05-22,INDUSTRIAL,5,210
35,2020-12-21,INDUSTRIAL,2155,152
37,2019-03-22,INDUSTRIAL,229,5
38,2019-03-09,INDUSTRIAL,5144,176
39,2020-12-27,INDUSTRIAL,10,15
41,2021-01-09,INDUSTRIAL,1312,62
43,2019-10-05,INDUSTRIAL,4040,201
45,2019-03-14,INDUSTRIAL,7685,193
46,2020-12-13,INDUSTRIAL,411,53
47,2020-12-21,INDUSTRIAL,126,44
48,2019-06-22,INDUSTRIAL,3014,194
49,2019-01-21,INDUSTRIAL,5882,181
50,2020-12-03,INDUSTRIAL,1,6
52,2020-12-18,INDUSTRIAL,1,50
53,2019-02-17,INDUSTRIAL,34,86
54,2020-05-27,INDUSTRIAL,9546,182
55,2020-12-12,INDUSTRIAL,30,52
56,2020-12-07,INDUSTRIAL,109,28
57,2019-02-13,INDUSTRIAL,98,0
58,2021-01-26,INDUSTRIAL,513,12
59,2019-02-06,INDUSTRIAL,200,192
60,2020-12-11,INDUSTRIAL,386,13
61,2019-01-12,INDUSTRIAL,881,92
62,2019-09-29,INDUSTRIAL,3468,97
63,2021-01-17,INDUSTRIAL,414,142
65,2020-12-14,INDUSTRIAL,51,55
66,2019-05-31,INDUSTRIAL,10780,95
68,2020-12-31,INDUSTRIAL,359,83
69,2020-12-30,INDUSTRIAL,86,119
70,2021-02-26,INDUSTRIAL,1281,155
71,2019-03-26,INDUSTRIAL,10351,177
72,2020-12-04,INDUSTRIAL,54,147
73,2020-12-10,INDUSTRIAL,227,49
74,2021-01-14,INDUSTRIAL,109,114
75,2021-01-25,INDUSTRIAL,259,131
76,2020-07-27,INDUSTRIAL,1679,204
78,2019-02-19,INDUSTRIAL,8537,183
79,2021-02-02,INDUSTRIAL,4,17
80,2020-12-28,INDUSTRIAL,1638,156
81,2019-06-23,INDUSTRIAL,536,116
83,2020-12-11,INDUSTRIAL,43,126
86,2020-12-09,INDUSTRIAL,439,21
87,2019-08-13,INDUSTRIAL,5860,195
88,2020-12-03,INDUSTRIAL,414,98
89,2019-07-20,INDUSTRIAL,1,90
90,2019-01-05,INDUSTRIAL,12,89
91,2021-05-23,INDUSTRIAL,4,210
93,2021-01-23,INDUSTRIAL,10,152
95,2019-03-15,INDUSTRIAL,278,5
96,2019-03-02,INDUSTRIAL,4400,176
97,2020-12-29,INDUSTRIAL,577,54
99,2021-01-12,INDUSTRIAL,979,62
101,2019-10-15,INDUSTRIAL,10270,201
103,2019-03-01,INDUSTRIAL,9560,193
104,2020-12-20,INDUSTRIAL,396,149
105,2020-12-20,INDUSTRIAL,4,44
106,2019-06-29,INDUSTRIAL,3410,194
107,2019-01-31,INDUSTRIAL,5915,181
108,2020-12-05,INDUSTRIAL,1,6
110,2021-04-17,INDUSTRIAL,5,50
111,2019-02-14,INDUSTRIAL,799,86
112,2020-05-10,INDUSTRIAL,574,182
113,2020-12-18,INDUSTRIAL,245,52
114,2020-12-11,INDUSTRIAL,345,77
115,2019-02-11,INDUSTRIAL,118,0
116,2021-01-28,INDUSTRIAL,1435,12
117,2019-02-20,INDUSTRIAL,945,192
118,2020-12-06,INDUSTRIAL,18,13
119,2019-01-27,INDUSTRIAL,642,92
120,2019-09-28,INDUSTRIAL,4726,97
121,2021-01-07,INDUSTRIAL,259,142
123,2020-12-06,INDUSTRIAL,4,55
124,2019-05-23,INDUSTRIAL,10300,95
126,2020-12-24,INDUSTRIAL,364,83
127,2020-12-16,INDUSTRIAL,111,119
128,2021-02-27,INDUSTRIAL,16,155
130,2020-12-04,INDUSTRIAL,874,115
131,2020-12-11,INDUSTRIAL,199,49
132,2021-01-16,INDUSTRIAL,2,114
133,2021-01-05,INDUSTRIAL,333,131
134,2020-07-26,INDUSTRIAL,282,204
135,2019-02-27,INDUSTRIAL,272,191
136,2019-02-26,INDUSTRIAL,14584,183
137,2021-02-04,INDUSTRIAL,4,17
138,2020-12-22,INDUSTRIAL,1707,156
139,2019-06-16,INDUSTRIAL,666,116
141,2020-12-04,INDUSTRIAL,49,126
142,2019-02-10,INDUSTRIAL,13506,94
144,2020-12-10,INDUSTRIAL,967,21
145,2019-08-12,INDUSTRIAL,310,195
146,2020-12-04,INDUSTRIAL,709,98
147,2019-07-26,INDUSTRIAL,285,90
148,2019-01-06,INDUSTRIAL,14,89
149,2021-05-24,INDUSTRIAL,5,210
150,2019-02-23,INDUSTRIAL,9332,3
151,2020-12-03,INDUSTRIAL,39,78
153,2019-03-17,INDUSTRIAL,254,5
154,2019-03-12,INDUSTRIAL,5137,176
155,2020-12-04,INDUSTRIAL,2186,15
157,2021-01-02,INDUSTRIAL,2640,62
159,2019-10-09,INDUSTRIAL,11240,201
162,2020-12-12,INDUSTRIAL,762,53
163,2020-12-23,INDUSTRIAL,114,44
164,2019-06-30,INDUSTRIAL,4194,194
165,2019-01-03,INDUSTRIAL,6103,181
166,2020-12-04,INDUSTRIAL,1,6
168,2021-04-22,INDUSTRIAL,12,50
169,2019-02-28,INDUSTRIAL,634,86
170,2020-05-14,INDUSTRIAL,586,182
171,2020-12-10,INDUSTRIAL,132,52
172,2020-12-07,INDUSTRIAL,3,77
173,2019-02-25,INDUSTRIAL,199,0
174,2021-01-24,INDUSTRIAL,15,12
175,2019-02-27,INDUSTRIAL,1809,192
176,2020-12-08,INDUSTRIAL,41,13
177,2019-01-07,INDUSTRIAL,957,92
178,2019-09-27,INDUSTRIAL,8478,97
179,2021-01-03,INDUSTRIAL,218,142
181,2020-12-12,INDUSTRIAL,4,55
182,2019-05-28,INDUSTRIAL,9350,95
184,2020-12-21,INDUSTRIAL,365,83
185,2020-12-05,INDUSTRIAL,86,51
186,2021-03-12,INDUSTRIAL,1284,155
187,2019-03-08,INDUSTRIAL,5866,177
188,2020-12-09,INDUSTRIAL,63,147
189,2020-12-11,INDUSTRIAL,562,99
190,2021-01-11,INDUSTRIAL,79,114
191,2021-02-26,INDUSTRIAL,92,131
192,2020-07-28,INDUSTRIAL,3731,204
193,2019-02-24,INDUSTRIAL,1,191
194,2019-02-05,INDUSTRIAL,4256,183
195,2021-02-06,INDUSTRIAL,3,17
196,2020-12-21,INDUSTRIAL,567,156
197,2019-06-30,INDUSTRIAL,686,116
199,2020-12-09,INDUSTRIAL,63,126
200,2019-02-23,INDUSTRIAL,12684,94
202,2020-12-04,INDUSTRIAL,946,21
203,2020-03-07,INDUSTRIAL,280,195
204,2020-12-08,INDUSTRIAL,2,98
206,2019-01-16,INDUSTRIAL,3311,89
207,2021-05-25,INDUSTRIAL,31,210
209,2020-12-04,INDUSTRIAL,54,78
211,2019-03-26,INDUSTRIAL,288,5
212,2019-03-04,INDUSTRIAL,4310,176
213,2020-12-15,INDUSTRIAL,1852,15
215,2021-01-23,INDUSTRIAL,2920,62
217,2019-10-21,INDUSTRIAL,10410,201
219,2019-03-22,INDUSTRIAL,5976,193
220,2020-12-16,INDUSTRIAL,566,53
