,FECHA,USO,CONSUMO,ID_CONTADOR
0,2020-02-15,INDUSTRIAL,52,14
1,2020-03-14,INDUSTRIAL,153,48
2,2020-05-21,INDUSTRIAL,33,45
3,2020-02-15,INDUSTRIAL,46,26
6,2020-04-14,INDUSTRIAL,2,18
7,2020-02-29,INDUSTRIAL,242,58
10,2019-08-20,INDUSTRIAL,12,75
11,2020-04-24,INDUSTRIAL,6,29
12,2020-02-29,INDUSTRIAL,416,38
13,2019-02-28,INDUSTRIAL,63,3
14,2020-04-25,INDUSTRIAL,375,2
15,2020-02-08,INDUSTRIAL,6,65
16,2020-06-17,INDUSTRIAL,439,61
17,2019-02-06,INDUSTRIAL,5,72
18,2020-09-15,INDUSTRIAL,79,6
20,2019-02-12,INDUSTRIAL,93,66
21,2020-02-24,INDUSTRIAL,249,1
22,2020-08-26,INDUSTRIAL,135,8
23,2020-08-06,INDUSTRIAL,42,22
24,2019-01-01,INDUSTRIAL,454,74
25,2019-07-20,INDUSTRIAL,6,76
27,2019-03-05,INDUSTRIAL,13,67
28,2019-03-28,INDUSTRIAL,49,70
29,2020-02-19,INDUSTRIAL,317,12
30,2020-03-11,INDUSTRIAL,22,44
31,2020-05-25,INDUSTRIAL,26,79
32,2020-02-22,INDUSTRIAL,27,32
33,2020-02-13,INDUSTRIAL,56,50
34,2020-02-14,INDUSTRIAL,402,54
35,2020-07-02,INDUSTRIAL,33,39
37,2020-02-15,INDUSTRIAL,197,33
40,2020-03-17,INDUSTRIAL,219,40
41,2019-03-29,INDUSTRIAL,26,71
42,2020-02-22,INDUSTRIAL,16,14
43,2020-03-17,INDUSTRIAL,163,48
44,2020-05-29,INDUSTRIAL,56,27
45,2020-02-14,INDUSTRIAL,140,26
47,2019-01-17,INDUSTRIAL,6,68
48,2020-04-08,INDUSTRIAL,1,23
49,2020-02-27,INDUSTRIAL,664,13
52,2019-08-05,INDUSTRIAL,10,75
53,2020-04-23,INDUSTRIAL,4,29
54,2020-02-23,INDUSTRIAL,149,38
55,2019-02-25,INDUSTRIAL,58,3
56,2020-04-01,INDUSTRIAL,601,2
57,2020-02-06,INDUSTRIAL,110,65
58,2020-06-07,INDUSTRIAL,448,61
59,2019-02-17,INDUSTRIAL,95,72
60,2020-04-14,INDUSTRIAL,44,6
62,2019-02-24,INDUSTRIAL,54,66
63,2020-02-03,INDUSTRIAL,294,7
64,2020-08-25,INDUSTRIAL,127,8
65,2020-08-07,INDUSTRIAL,39,22
