,FECHA,USO,CONSUMO,ID_CONTADOR
0,2020-11-09,INDUSTRIAL,506400,3
1,2021-06-26,INDUSTRIAL,13908,2
2,2021-10-07,INDUSTRIAL,44000,0
3,2021-01-29,INDUSTRIAL,534700,3
4,2020-12-10,INDUSTRIAL,433000,0
5,2020-12-16,INDUSTRIAL,6307,2
6,2020-11-16,INDUSTRIAL,496000,0
7,2021-02-03,INDUSTRIAL,796200,3
8,2021-02-10,INDUSTRIAL,2208,1
9,2021-02-12,INDUSTRIAL,383000,0
10,2020-09-13,INDUSTRIAL,1045400,3
11,2021-04-30,INDUSTRIAL,3741,1
12,2021-12-07,INDUSTRIAL,7082,2
13,2021-03-10,INDUSTRIAL,3409,1
14,2021-12-07,INDUSTRIAL,23000,0
15,2020-08-11,INDUSTRIAL,8429,1
16,2020-11-11,INDUSTRIAL,1138000,0
17,2021-07-17,INDUSTRIAL,817500,3
18,2020-09-09,INDUSTRIAL,3198,1
19,2021-04-13,INDUSTRIAL,872000,0
20,2021-09-13,INDUSTRIAL,678400,3
21,2020-09-14,INDUSTRIAL,570500,3
22,2019-02-22,INDUSTRIAL,637500,3
23,2020-05-16,INDUSTRIAL,777000,0
24,2021-05-31,INDUSTRIAL,669300,3
25,2020-12-06,INDUSTRIAL,449000,0
26,2021-01-17,INDUSTRIAL,633700,3
27,2021-09-18,INDUSTRIAL,8702,2
28,2019-03-30,INDUSTRIAL,4853,1
29,2021-06-24,INDUSTRIAL,42000,0
30,2021-10-07,INDUSTRIAL,4398,1
31,2020-09-12,INDUSTRIAL,122800,3
32,2021-03-08,INDUSTRIAL,6595,2
33,2021-11-09,INDUSTRIAL,24000,0
34,2020-10-05,INDUSTRIAL,549000,3
35,2021-10-08,INDUSTRIAL,44000,0
36,2020-07-26,INDUSTRIAL,13473,2
37,2021-03-12,INDUSTRIAL,7008,2
38,2021-01-29,INDUSTRIAL,2289,1
39,2021-11-02,INDUSTRIAL,7368,2
40,2021-08-06,INDUSTRIAL,10937,2
41,2020-11-18,INDUSTRIAL,444000,0
42,2021-07-21,INDUSTRIAL,11297,1
43,2021-01-29,INDUSTRIAL,404000,0
44,2021-11-02,INDUSTRIAL,4785,1
45,2020-11-03,INDUSTRIAL,139000,0
46,2020-11-03,INDUSTRIAL,488500,3
47,2021-06-25,INDUSTRIAL,12579,2
48,2021-10-06,INDUSTRIAL,43000,0
49,2021-01-28,INDUSTRIAL,733400,3
50,2021-01-10,INDUSTRIAL,9196,2
51,2020-11-15,INDUSTRIAL,395000,0
52,2021-02-12,INDUSTRIAL,570100,3
53,2021-02-12,INDUSTRIAL,2609,1
54,2021-02-11,INDUSTRIAL,350000,0
55,2021-04-29,INDUSTRIAL,3399,1
56,2021-12-06,INDUSTRIAL,7227,2
57,2021-03-09,INDUSTRIAL,2566,1
58,2021-12-05,INDUSTRIAL,26000,0
59,2020-08-10,INDUSTRIAL,6296,1
60,2021-07-20,INDUSTRIAL,829700,3
61,2020-09-25,INDUSTRIAL,2810,1
62,2020-09-04,INDUSTRIAL,390000,0
63,2021-09-12,INDUSTRIAL,753600,3
64,2020-09-03,INDUSTRIAL,608300,3
65,2019-02-19,INDUSTRIAL,647900,3
66,2019-01-01,INDUSTRIAL,82000,0
67,2021-05-29,INDUSTRIAL,747100,3
68,2020-12-05,INDUSTRIAL,334000,0
69,2021-01-16,INDUSTRIAL,604100,3
70,2021-10-07,INDUSTRIAL,7242,2
71,2019-03-10,INDUSTRIAL,3341,1
72,2021-06-23,INDUSTRIAL,15000,0
73,2021-10-06,INDUSTRIAL,3640,1
74,2021-01-30,INDUSTRIAL,6635,2
75,2021-03-07,INDUSTRIAL,7306,2
76,2021-07-08,INDUSTRIAL,54000,0
77,2020-10-02,INDUSTRIAL,484800,3
78,2021-06-11,INDUSTRIAL,7030,1
79,2020-07-28,INDUSTRIAL,6397,2
80,2021-03-11,INDUSTRIAL,7043,2
81,2021-01-28,INDUSTRIAL,2006,1
82,2021-11-07,INDUSTRIAL,9603,2
83,2021-08-05,INDUSTRIAL,12048,2
84,2021-07-20,INDUSTRIAL,7540,1
85,2021-01-16,INDUSTRIAL,470000,0
86,2021-11-07,INDUSTRIAL,4114,1
87,2020-11-08,INDUSTRIAL,393000,0
88,2020-11-07,INDUSTRIAL,517700,3
89,2021-06-30,INDUSTRIAL,10928,2
90,2021-10-05,INDUSTRIAL,45000,0
91,2021-01-06,INDUSTRIAL,9455,2
92,2020-11-13,INDUSTRIAL,485000,0
93,2021-02-11,INDUSTRIAL,661100,3
94,2021-02-11,INDUSTRIAL,2330,1
95,2021-02-10,INDUSTRIAL,354000,0
96,2021-04-16,INDUSTRIAL,4209,1
97,2021-12-05,INDUSTRIAL,6684,2
98,2021-03-20,INDUSTRIAL,3614,1
99,2021-12-01,INDUSTRIAL,27000,0
100,2020-08-09,INDUSTRIAL,11421,1
101,2021-07-19,INDUSTRIAL,799800,3
102,2020-09-24,INDUSTRIAL,3655,1
103,2020-09-07,INDUSTRIAL,405000,0
104,2021-09-11,INDUSTRIAL,718100,3
105,2020-09-02,INDUSTRIAL,679400,3
106,2019-02-10,INDUSTRIAL,684200,3
107,2019-01-17,INDUSTRIAL,105000,0
108,2021-05-30,INDUSTRIAL,766000,3
109,2020-12-08,INDUSTRIAL,511000,0
110,2021-01-20,INDUSTRIAL,535100,3
111,2021-10-03,INDUSTRIAL,9708,2
112,2019-03-23,INDUSTRIAL,3511,1
113,2021-06-22,INDUSTRIAL,18000,0
114,2021-10-05,INDUSTRIAL,3048,1
115,2021-01-31,INDUSTRIAL,7423,2
116,2021-03-06,INDUSTRIAL,8025,2
117,2020-10-06,INDUSTRIAL,541200,3
118,2021-06-10,INDUSTRIAL,5768,1
119,2020-07-25,INDUSTRIAL,10597,2
120,2021-03-10,INDUSTRIAL,7227,2
121,2020-12-15,INDUSTRIAL,444000,0
122,2021-11-06,INDUSTRIAL,7628,2
123,2021-08-04,INDUSTRIAL,10323,2
124,2021-07-19,INDUSTRIAL,7137,1
125,2021-01-22,INDUSTRIAL,422000,0
126,2021-11-06,INDUSTRIAL,3370,1
127,2020-11-09,INDUSTRIAL,392000,0
128,2020-11-02,INDUSTRIAL,606200,3
129,2021-06-29,INDUSTRIAL,15417,2
130,2021-10-04,INDUSTRIAL,43000,0
131,2021-01-21,INDUSTRIAL,7369,2
132,2020-11-14,INDUSTRIAL,489000,0
133,2021-02-10,INDUSTRIAL,485800,3
134,2021-02-09,INDUSTRIAL,2167,1
135,2021-02-09,INDUSTRIAL,345000,0
136,2021-04-14,INDUSTRIAL,3273,1
137,2021-12-04,INDUSTRIAL,7353,2
138,2021-03-22,INDUSTRIAL,3103,1
139,2021-12-06,INDUSTRIAL,26000,0
140,2020-08-03,INDUSTRIAL,3095,1
141,2021-07-18,INDUSTRIAL,910700,3
142,2020-09-29,INDUSTRIAL,3398,1
143,2020-09-05,INDUSTRIAL,153000,0
144,2021-09-10,INDUSTRIAL,637500,3
145,2020-09-04,INDUSTRIAL,557900,3
146,2019-02-23,INDUSTRIAL,697500,3
147,2019-01-23,INDUSTRIAL,109000,0
148,2021-05-12,INDUSTRIAL,582500,3
149,2020-12-09,INDUSTRIAL,426000,0
150,2021-01-21,INDUSTRIAL,520400,3
151,2021-10-02,INDUSTRIAL,9248,2
152,2019-03-24,INDUSTRIAL,5010,1
153,2021-06-20,INDUSTRIAL,20000,0
154,2021-10-04,INDUSTRIAL,3623,1
155,2021-02-12,INDUSTRIAL,6819,2
156,2021-03-05,INDUSTRIAL,7111,2
157,2020-10-07,INDUSTRIAL,531200,3
158,2021-06-08,INDUSTRIAL,7170,1
159,2020-07-27,INDUSTRIAL,7140,2
160,2021-03-09,INDUSTRIAL,7456,2
161,2020-12-17,INDUSTRIAL,424000,0
162,2021-11-05,INDUSTRIAL,6198,2
163,2021-08-03,INDUSTRIAL,10550,2
164,2021-07-18,INDUSTRIAL,9147,1
165,2021-01-19,INDUSTRIAL,1036000,0
166,2021-11-05,INDUSTRIAL,3997,1
167,2020-11-07,INDUSTRIAL,396000,0
168,2020-11-08,INDUSTRIAL,613300,3
169,2021-06-28,INDUSTRIAL,13570,2
170,2021-10-03,INDUSTRIAL,43000,0
171,2021-01-05,INDUSTRIAL,8156,2
172,2020-11-17,INDUSTRIAL,441000,0
173,2021-02-09,INDUSTRIAL,564500,3
174,2021-02-08,INDUSTRIAL,3184,1
175,2021-01-30,INDUSTRIAL,457000,0
176,2021-04-13,INDUSTRIAL,3334,1
177,2021-12-03,INDUSTRIAL,7216,2
178,2021-03-24,INDUSTRIAL,3628,1
179,2021-12-03,INDUSTRIAL,26000,0
180,2020-08-01,INDUSTRIAL,10490,1
181,2021-07-16,INDUSTRIAL,757400,3
182,2020-09-20,INDUSTRIAL,4562,1
183,2020-09-01,INDUSTRIAL,406000,0
184,2021-09-09,INDUSTRIAL,687100,3
185,2020-09-08,INDUSTRIAL,564100,3
186,2019-02-14,INDUSTRIAL,616100,3
187,2019-01-19,INDUSTRIAL,100000,0
188,2021-05-17,INDUSTRIAL,594400,3
189,2020-12-01,INDUSTRIAL,450000,0
190,2021-01-27,INDUSTRIAL,357800,3
191,2021-10-01,INDUSTRIAL,9971,2
192,2019-03-15,INDUSTRIAL,2602,1
193,2021-06-19,INDUSTRIAL,14000,0
194,2021-10-03,INDUSTRIAL,3499,1
195,2021-02-11,INDUSTRIAL,6941,2
196,2021-03-04,INDUSTRIAL,6092,2
197,2020-10-08,INDUSTRIAL,506600,3
198,2021-06-09,INDUSTRIAL,6368,1
199,2020-07-24,INDUSTRIAL,4908,2
200,2021-03-31,INDUSTRIAL,9692,2
201,2020-12-27,INDUSTRIAL,479000,0
202,2021-11-04,INDUSTRIAL,8065,2
203,2021-08-02,INDUSTRIAL,11585,2
204,2021-07-17,INDUSTRIAL,15502,1
205,2021-01-21,INDUSTRIAL,475000,0
206,2021-11-04,INDUSTRIAL,4257,1
207,2020-11-06,INDUSTRIAL,344000,0
208,2020-11-06,INDUSTRIAL,543500,3
209,2021-06-23,INDUSTRIAL,9381,2
210,2021-10-02,INDUSTRIAL,43000,0
211,2021-01-19,INDUSTRIAL,7678,2
212,2021-04-30,INDUSTRIAL,587000,3
213,2021-02-02,INDUSTRIAL,566300,3
214,2021-02-06,INDUSTRIAL,3212,1
215,2021-01-31,INDUSTRIAL,482000,0
216,2021-04-15,INDUSTRIAL,3042,1
217,2021-12-02,INDUSTRIAL,7255,2
218,2021-03-23,INDUSTRIAL,3985,1
219,2021-12-02,INDUSTRIAL,27000,0
220,2020-08-02,INDUSTRIAL,10185,1
221,2021-07-15,INDUSTRIAL,776600,3
222,2020-09-10,INDUSTRIAL,1505,1
223,2020-09-06,INDUSTRIAL,834000,0
224,2021-09-08,INDUSTRIAL,690800,3
225,2020-09-06,INDUSTRIAL,657200,3
226,2019-02-25,INDUSTRIAL,625600,3
227,2019-01-03,INDUSTRIAL,41000,0
228,2021-05-16,INDUSTRIAL,667100,3
229,2020-12-02,INDUSTRIAL,380000,0
230,2021-01-18,INDUSTRIAL,779800,3
231,2021-10-05,INDUSTRIAL,6893,2
232,2019-03-27,INDUSTRIAL,2718,1
233,2021-06-27,INDUSTRIAL,36000,0
234,2021-10-02,INDUSTRIAL,3844,1
235,2021-02-09,INDUSTRIAL,6223,2
236,2021-03-03,INDUSTRIAL,6389,2
237,2020-10-04,INDUSTRIAL,627000,3
238,2021-05-08,INDUSTRIAL,12161,1
239,2020-07-21,INDUSTRIAL,7566,2
240,2021-03-30,INDUSTRIAL,6499,2
241,2020-12-16,INDUSTRIAL,474000,0
242,2021-11-03,INDUSTRIAL,6488,2
243,2021-08-01,INDUSTRIAL,12396,2
244,2021-07-16,INDUSTRIAL,8875,1
245,2021-01-20,INDUSTRIAL,410000,0
246,2021-11-03,INDUSTRIAL,4722,1
247,2020-11-05,INDUSTRIAL,237000,0
248,2020-11-04,INDUSTRIAL,524900,3
249,2021-06-22,INDUSTRIAL,10179,2
250,2021-10-01,INDUSTRIAL,44000,0
251,2021-01-07,INDUSTRIAL,8343,2
252,2021-04-29,INDUSTRIAL,458000,3
253,2021-02-01,INDUSTRIAL,409600,3
254,2021-02-03,INDUSTRIAL,2503,1
255,2021-02-08,INDUSTRIAL,349000,0
256,2021-04-26,INDUSTRIAL,3383,1
257,2021-12-01,INDUSTRIAL,7011,2
258,2021-03-21,INDUSTRIAL,4442,1
259,2021-12-04,INDUSTRIAL,24000,0
260,2020-08-08,INDUSTRIAL,12236,1
261,2021-07-21,INDUSTRIAL,817900,3
262,2020-09-14,INDUSTRIAL,3577,1
263,2020-09-02,INDUSTRIAL,400000,0
264,2021-08-14,INDUSTRIAL,893000,3
265,2020-09-05,INDUSTRIAL,593600,3
266,2019-02-13,INDUSTRIAL,626200,3
267,2019-01-16,INDUSTRIAL,152000,0
268,2021-05-14,INDUSTRIAL,692500,3
269,2020-12-07,INDUSTRIAL,641000,0
270,2021-01-22,INDUSTRIAL,488700,3
271,2021-10-06,INDUSTRIAL,7019,2
272,2019-03-25,INDUSTRIAL,3477,1
273,2021-06-26,INDUSTRIAL,30000,0
274,2021-10-01,INDUSTRIAL,3967,1
275,2021-02-10,INDUSTRIAL,6962,2
276,2021-03-02,INDUSTRIAL,5805,2
277,2020-10-09,INDUSTRIAL,519300,3
278,2021-05-25,INDUSTRIAL,4278,1
279,2020-07-22,INDUSTRIAL,7851,2
280,2021-03-29,INDUSTRIAL,7375,2
281,2020-12-13,INDUSTRIAL,410000,0
282,2021-11-01,INDUSTRIAL,9989,2
283,2021-07-23,INDUSTRIAL,12719,2
284,2021-07-15,INDUSTRIAL,6941,1
285,2021-01-18,INDUSTRIAL,646000,0
286,2021-11-01,INDUSTRIAL,4022,1
287,2020-11-04,INDUSTRIAL,250000,0
288,2020-11-01,INDUSTRIAL,681500,3
289,2021-06-21,INDUSTRIAL,12813,2
290,2021-09-29,INDUSTRIAL,41000,0
291,2021-01-14,INDUSTRIAL,8207,2
292,2021-04-25,INDUSTRIAL,660100,3
293,2021-02-04,INDUSTRIAL,563400,3
294,2021-02-01,INDUSTRIAL,2170,1
295,2021-02-07,INDUSTRIAL,367000,0
296,2021-04-27,INDUSTRIAL,3646,1
297,2021-11-14,INDUSTRIAL,5931,2
298,2021-03-19,INDUSTRIAL,2457,1
299,2021-11-13,INDUSTRIAL,23000,0
300,2020-08-04,INDUSTRIAL,5062,1
301,2021-07-14,INDUSTRIAL,742600,3
302,2020-09-26,INDUSTRIAL,5135,1
303,2020-09-08,INDUSTRIAL,57000,0
304,2021-08-13,INDUSTRIAL,810500,3
305,2020-09-07,INDUSTRIAL,520100,3
306,2019-02-20,INDUSTRIAL,625700,3
307,2019-01-28,INDUSTRIAL,347000,0
308,2021-05-15,INDUSTRIAL,639500,3
309,2020-12-03,INDUSTRIAL,171000,0
310,2021-01-15,INDUSTRIAL,545700,3
311,2021-10-04,INDUSTRIAL,6183,2
312,2019-03-05,INDUSTRIAL,1947,1
313,2021-06-25,INDUSTRIAL,22000,0
314,2021-09-29,INDUSTRIAL,6034,1
315,2021-02-08,INDUSTRIAL,7200,2
316,2021-03-01,INDUSTRIAL,7317,2
317,2020-10-03,INDUSTRIAL,583100,3
318,2021-05-24,INDUSTRIAL,5716,1
319,2020-07-23,INDUSTRIAL,11550,2
320,2021-03-26,INDUSTRIAL,6548,2
321,2020-12-20,INDUSTRIAL,426000,0
322,2021-10-28,INDUSTRIAL,7253,2
323,2021-07-22,INDUSTRIAL,12229,2
324,2021-07-14,INDUSTRIAL,10005,1
325,2021-01-24,INDUSTRIAL,447000,0
326,2021-11-08,INDUSTRIAL,3346,1
327,2021-08-07,INDUSTRIAL,13369,1
328,2020-11-05,INDUSTRIAL,559600,3
329,2021-06-20,INDUSTRIAL,13031,2
330,2021-09-30,INDUSTRIAL,42000,0
331,2021-01-27,INDUSTRIAL,6948,2
332,2021-04-23,INDUSTRIAL,631600,3
333,2021-01-30,INDUSTRIAL,579800,3
334,2021-02-04,INDUSTRIAL,2368,1
335,2021-02-06,INDUSTRIAL,386000,0
336,2021-04-28,INDUSTRIAL,6497,1
337,2021-11-13,INDUSTRIAL,7505,2
338,2021-03-18,INDUSTRIAL,2632,1
339,2021-11-12,INDUSTRIAL,24000,0
340,2020-08-06,INDUSTRIAL,5601,1
341,2021-07-13,INDUSTRIAL,746500,3
342,2020-09-12,INDUSTRIAL,3019,1
343,2020-09-03,INDUSTRIAL,367000,0
344,2021-08-12,INDUSTRIAL,813800,3
345,2020-09-01,INDUSTRIAL,385200,3
346,2019-02-09,INDUSTRIAL,624200,3
347,2019-01-20,INDUSTRIAL,115000,0
348,2021-05-13,INDUSTRIAL,492800,3
349,2020-11-25,INDUSTRIAL,495000,0
350,2021-01-26,INDUSTRIAL,525700,3
351,2021-09-15,INDUSTRIAL,8154,2
352,2019-03-26,INDUSTRIAL,2915,1
353,2021-06-21,INDUSTRIAL,50000,0
354,2021-09-30,INDUSTRIAL,7270,1
355,2021-02-07,INDUSTRIAL,6792,2
356,2021-02-23,INDUSTRIAL,5462,2
357,2021-06-08,INDUSTRIAL,60000,0
358,2021-05-23,INDUSTRIAL,12364,1
359,2021-03-27,INDUSTRIAL,7646,2
360,2020-12-28,INDUSTRIAL,428000,0
361,2021-10-27,INDUSTRIAL,6743,2
362,2021-07-21,INDUSTRIAL,11978,2
363,2021-07-13,INDUSTRIAL,9654,1
364,2021-01-17,INDUSTRIAL,480000,0
365,2021-10-13,INDUSTRIAL,4666,1
366,2021-08-28,INDUSTRIAL,5103,1
367,2020-10-27,INDUSTRIAL,585700,3
368,2021-06-19,INDUSTRIAL,14234,2
369,2021-09-28,INDUSTRIAL,43000,0
370,2021-01-15,INDUSTRIAL,8128,2
371,2021-04-24,INDUSTRIAL,608100,3
372,2021-01-31,INDUSTRIAL,647000,3
