,FECHA,USO,CONSUMO,ID_CONTADOR
1,2019-10-12,INDUSTRIAL,1,119
2,2021-02-22,INDUSTRIAL,1,148
4,2019-09-30,INDUSTRIAL,99,95
5,2019-03-24,INDUSTRIAL,992,25
6,2019-01-27,INDUSTRIAL,12,43
7,2019-02-05,INDUSTRIAL,6,32
8,2019-01-26,INDUSTRIAL,820,64
9,2019-03-05,INDUSTRIAL,1100,41
10,2019-01-08,INDUSTRIAL,516,26
11,2019-03-07,INDUSTRIAL,118,37
12,2019-01-20,INDUSTRIAL,50,34
13,2019-01-22,INDUSTRIAL,67,68
14,2019-01-19,INDUSTRIAL,484,56
15,2019-03-21,INDUSTRIAL,116,47
16,2019-02-03,INDUSTRIAL,177,48
17,2019-02-05,INDUSTRIAL,385,42
18,2019-08-19,INDUSTRIAL,570,75
19,2019-05-29,INDUSTRIAL,5521,91
20,2019-03-05,INDUSTRIAL,88,39
21,2019-03-08,INDUSTRIAL,786,29
22,2019-02-06,INDUSTRIAL,1818,59
23,2019-02-21,INDUSTRIAL,42,24
24,2019-10-28,INDUSTRIAL,684,108
25,2019-02-17,INDUSTRIAL,80,38
26,2019-02-06,INDUSTRIAL,369,31
27,2019-04-15,INDUSTRIAL,6220,71
29,2020-05-25,INDUSTRIAL,1001,84
30,2019-03-06,INDUSTRIAL,43,27
31,2020-02-22,INDUSTRIAL,269,16
32,2019-02-01,INDUSTRIAL,2140,172
33,2019-02-27,INDUSTRIAL,1031,66
34,2019-03-28,INDUSTRIAL,9,5
35,2020-07-22,INDUSTRIAL,1319,139
36,2019-03-07,INDUSTRIAL,7,7
37,2019-04-26,INDUSTRIAL,80,9
38,2019-01-06,INDUSTRIAL,25,40
39,2019-03-16,INDUSTRIAL,387,93
41,2019-10-10,INDUSTRIAL,2429,101
42,2019-02-09,INDUSTRIAL,269,33
44,2021-02-25,INDUSTRIAL,418,82
45,2019-02-16,INDUSTRIAL,180,55
46,2019-03-21,INDUSTRIAL,250,46
47,2020-02-24,INDUSTRIAL,450,163
48,2020-05-17,INDUSTRIAL,4,79
49,2019-02-04,INDUSTRIAL,267,3
50,2019-02-05,INDUSTRIAL,207,57
52,2019-07-04,INDUSTRIAL,115,45
54,2019-06-29,INDUSTRIAL,630,73
55,2019-03-12,INDUSTRIAL,67,52
56,2020-02-15,INDUSTRIAL,361,121
57,2019-03-31,INDUSTRIAL,78,18
58,2019-02-23,INDUSTRIAL,4260,171
59,2019-10-07,INDUSTRIAL,1,119
60,2021-11-22,INDUSTRIAL,4127,148
62,2019-09-29,INDUSTRIAL,199,95
63,2019-03-14,INDUSTRIAL,1899,25
64,2019-01-03,INDUSTRIAL,6,43
