,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-06-17,INDUSTRIAL,365,15
3,2021-09-19,INDUSTRIAL,16,23
4,2021-07-14,INDUSTRIAL,61,43
5,2021-07-15,INDUSTRIAL,111,7
6,2021-06-29,INDUSTRIAL,106,24
7,2021-07-20,INDUSTRIAL,293,1
8,2021-08-23,INDUSTRIAL,15,5
9,2021-09-10,INDUSTRIAL,1053,35
10,2021-11-22,INDUSTRIAL,1020,9
11,2021-11-07,INDUSTRIAL,4,41
12,2021-11-07,INDUSTRIAL,279,15
13,2021-06-10,INDUSTRIAL,1987,32
14,2021-06-17,INDUSTRIAL,1640,39
15,2021-09-29,INDUSTRIAL,375,6
16,2020-10-24,INDUSTRIAL,51,10
17,2020-11-18,INDUSTRIAL,1591,10
18,2021-07-15,INDUSTRIAL,1151,36
19,2021-07-15,INDUSTRIAL,273,41
20,2021-04-13,INDUSTRIAL,1309,10
21,2021-07-15,INDUSTRIAL,184,14
22,2021-07-18,INDUSTRIAL,57,21
23,2021-08-27,INDUSTRIAL,522,17
24,2020-10-16,INDUSTRIAL,2090,40
25,2021-07-15,INDUSTRIAL,414,29
26,2021-07-15,INDUSTRIAL,68,37
27,2021-05-29,INDUSTRIAL,8,10
29,2021-06-17,INDUSTRIAL,38,4
30,2021-06-18,INDUSTRIAL,495,13
31,2021-10-31,INDUSTRIAL,96,29
32,2021-07-15,INDUSTRIAL,254,35
33,2021-11-15,INDUSTRIAL,207,6
34,2021-06-27,INDUSTRIAL,28,2
35,2021-11-23,INDUSTRIAL,20,5
36,2021-11-17,INDUSTRIAL,636,9
37,2021-09-29,INDUSTRIAL,64,22
38,2021-06-25,INDUSTRIAL,818,11
39,2021-08-19,INDUSTRIAL,29,28
40,2021-08-05,INDUSTRIAL,1571,26
41,2021-07-15,INDUSTRIAL,507,32
42,2021-06-27,INDUSTRIAL,119,35
43,2021-06-09,INDUSTRIAL,876,15
44,2021-07-12,INDUSTRIAL,46,4
45,2021-06-11,INDUSTRIAL,10,18
46,2021-06-09,INDUSTRIAL,71,22
47,2021-07-22,INDUSTRIAL,1345,10
48,2021-06-17,INDUSTRIAL,656,9
49,2021-08-03,INDUSTRIAL,21,4
50,2021-06-13,INDUSTRIAL,3,23
51,2021-08-07,INDUSTRIAL,451,11
52,2021-09-11,INDUSTRIAL,3,10
53,2021-10-21,INDUSTRIAL,49,42
54,2021-07-19,INDUSTRIAL,4,30
56,2021-11-26,INDUSTRIAL,377,31
57,2021-02-04,INDUSTRIAL,1263,10
59,2021-11-13,INDUSTRIAL,27,10
60,2021-06-14,INDUSTRIAL,416,15
63,2021-09-21,INDUSTRIAL,203,23
64,2021-07-13,INDUSTRIAL,217,43
65,2021-06-18,INDUSTRIAL,116,24
66,2021-07-19,INDUSTRIAL,444,1
67,2021-07-28,INDUSTRIAL,13,5
68,2021-09-14,INDUSTRIAL,577,35
69,2021-11-19,INDUSTRIAL,587,9
70,2021-11-04,INDUSTRIAL,206,41
71,2021-11-04,INDUSTRIAL,461,15
72,2021-06-16,INDUSTRIAL,437,32
73,2021-06-18,INDUSTRIAL,1780,39
74,2021-09-30,INDUSTRIAL,526,6
75,2020-10-25,INDUSTRIAL,47,10
76,2021-08-17,INDUSTRIAL,22,18
77,2021-07-14,INDUSTRIAL,32,27
78,2021-06-09,INDUSTRIAL,292,25
79,2021-04-14,INDUSTRIAL,1196,10
80,2021-06-12,INDUSTRIAL,267,6
81,2021-08-07,INDUSTRIAL,157,21
82,2021-08-26,INDUSTRIAL,800,17
84,2021-08-12,INDUSTRIAL,46,29
85,2021-09-12,INDUSTRIAL,3,43
86,2021-05-30,INDUSTRIAL,2,10
87,2019-06-23,INDUSTRIAL,540,40
88,2021-06-16,INDUSTRIAL,19,4
89,2021-06-21,INDUSTRIAL,381,13
90,2021-10-30,INDUSTRIAL,887,29
91,2021-06-12,INDUSTRIAL,163,13
92,2021-11-18,INDUSTRIAL,190,6
93,2021-06-26,INDUSTRIAL,27,2
94,2021-12-13,INDUSTRIAL,26,5
95,2021-09-28,INDUSTRIAL,1011,9
96,2021-09-30,INDUSTRIAL,258,22
97,2021-06-21,INDUSTRIAL,532,11
98,2021-08-18,INDUSTRIAL,57,28
99,2021-08-07,INDUSTRIAL,162,26
100,2021-10-21,INDUSTRIAL,2,38
101,2021-06-26,INDUSTRIAL,125,35
102,2021-06-08,INDUSTRIAL,626,15
103,2021-06-25,INDUSTRIAL,19,4
104,2021-06-10,INDUSTRIAL,84,18
105,2021-06-08,INDUSTRIAL,75,22
106,2021-07-21,INDUSTRIAL,1050,10
107,2021-06-16,INDUSTRIAL,694,9
108,2021-07-27,INDUSTRIAL,21,4
109,2021-06-11,INDUSTRIAL,29,23
110,2021-08-06,INDUSTRIAL,400,11
111,2021-09-10,INDUSTRIAL,1000,10
112,2021-10-31,INDUSTRIAL,47,42
113,2021-08-31,INDUSTRIAL,6,30
115,2021-11-27,INDUSTRIAL,449,31
116,2021-02-03,INDUSTRIAL,1987,10
117,2021-10-27,INDUSTRIAL,10,5
118,2021-11-11,INDUSTRIAL,542,10
119,2021-06-16,INDUSTRIAL,411,15
120,2020-01-06,INDUSTRIAL,9,0
122,2021-09-20,INDUSTRIAL,39,23
123,2021-07-12,INDUSTRIAL,138,43
124,2021-06-28,INDUSTRIAL,98,24
125,2021-07-16,INDUSTRIAL,55,1
126,2021-09-02,INDUSTRIAL,9,5
127,2021-09-15,INDUSTRIAL,471,35
128,2021-11-18,INDUSTRIAL,894,9
129,2021-11-05,INDUSTRIAL,186,41
130,2021-11-02,INDUSTRIAL,443,15
131,2021-06-13,INDUSTRIAL,37,32
133,2021-10-20,INDUSTRIAL,215,6
134,2020-10-27,INDUSTRIAL,1241,10
135,2021-08-12,INDUSTRIAL,1,18
136,2021-07-13,INDUSTRIAL,15,27
137,2021-06-08,INDUSTRIAL,754,25
138,2021-04-12,INDUSTRIAL,1364,10
139,2021-06-10,INDUSTRIAL,331,6
140,2021-08-06,INDUSTRIAL,96,21
141,2021-08-28,INDUSTRIAL,213,17
142,2020-10-22,INDUSTRIAL,1500,40
143,2021-08-25,INDUSTRIAL,349,29
144,2021-09-11,INDUSTRIAL,7,43
145,2021-05-31,INDUSTRIAL,1238,10
146,2019-06-29,INDUSTRIAL,1897,40
147,2021-06-15,INDUSTRIAL,39,4
148,2021-06-22,INDUSTRIAL,634,13
149,2021-10-29,INDUSTRIAL,528,29
150,2021-06-15,INDUSTRIAL,665,13
151,2021-11-17,INDUSTRIAL,158,6
152,2021-06-22,INDUSTRIAL,288,2
153,2021-12-02,INDUSTRIAL,10,5
154,2021-09-26,INDUSTRIAL,911,9
155,2021-09-28,INDUSTRIAL,122,22
156,2021-06-27,INDUSTRIAL,141,11
157,2021-08-16,INDUSTRIAL,87,28
158,2021-08-06,INDUSTRIAL,288,26
159,2021-10-16,INDUSTRIAL,101,38
160,2021-06-25,INDUSTRIAL,124,35
162,2021-06-23,INDUSTRIAL,20,4
163,2021-06-13,INDUSTRIAL,6,18
164,2021-07-14,INDUSTRIAL,127,7
165,2021-07-20,INDUSTRIAL,1251,10
166,2021-06-15,INDUSTRIAL,506,9
167,2021-07-28,INDUSTRIAL,21,4
168,2021-06-15,INDUSTRIAL,20,23
169,2021-08-02,INDUSTRIAL,454,11
170,2021-09-09,INDUSTRIAL,1212,10
171,2021-10-29,INDUSTRIAL,1512,42
172,2021-07-30,INDUSTRIAL,1,30
174,2021-11-29,INDUSTRIAL,398,31
175,2021-02-01,INDUSTRIAL,1438,10
