,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-06-30,INDUSTRIAL,18,26
1,2020-02-29,INDUSTRIAL,18960,22
2,2021-06-20,INDUSTRIAL,43,35
3,2019-01-02,INDUSTRIAL,250,49
4,2019-11-29,INDUSTRIAL,14808,86
5,2019-01-17,INDUSTRIAL,8692,48
6,2021-06-08,INDUSTRIAL,217,80
7,2021-06-09,INDUSTRIAL,21,2
8,2021-06-09,INDUSTRIAL,1586,7
9,2021-06-30,INDUSTRIAL,140,39
10,2021-06-16,INDUSTRIAL,969,64
11,2021-06-16,INDUSTRIAL,100,9
12,2021-06-30,INDUSTRIAL,207,3
13,2020-03-06,INDUSTRIAL,2880,59
14,2021-06-30,INDUSTRIAL,202,70
15,2020-08-15,INDUSTRIAL,1,87
16,2021-06-12,INDUSTRIAL,9,60
17,2021-07-15,INDUSTRIAL,183,40
18,2021-06-30,INDUSTRIAL,393,19
19,2021-06-10,INDUSTRIAL,110,73
20,2020-02-13,INDUSTRIAL,22517,58
21,2021-06-17,INDUSTRIAL,12590,75
22,2019-01-29,INDUSTRIAL,3709,28
23,2021-06-16,INDUSTRIAL,1978,4
24,2021-07-20,INDUSTRIAL,1639,25
25,2021-04-20,INDUSTRIAL,1600,72
26,2019-10-09,INDUSTRIAL,15453,47
27,2020-02-17,INDUSTRIAL,4670,1
28,2020-03-18,INDUSTRIAL,4264,17
29,2021-06-24,INDUSTRIAL,476,57
30,2021-06-29,INDUSTRIAL,875,6
31,2021-07-28,INDUSTRIAL,159,38
32,2019-02-15,INDUSTRIAL,458,85
33,2019-10-26,INDUSTRIAL,50,51
35,2021-06-11,INDUSTRIAL,387,10
36,2021-06-11,INDUSTRIAL,633,13
37,2020-05-13,INDUSTRIAL,1080,88
38,2019-05-10,INDUSTRIAL,690,92
39,2021-06-17,INDUSTRIAL,58,67
40,2021-06-08,INDUSTRIAL,52,36
41,2021-06-29,INDUSTRIAL,4726,79
42,2021-06-26,INDUSTRIAL,8,15
43,2019-03-08,INDUSTRIAL,2960,52
44,2021-06-28,INDUSTRIAL,6246,50
46,2021-06-14,INDUSTRIAL,76,41
48,2019-01-23,INDUSTRIAL,729,84
49,2021-06-28,INDUSTRIAL,94,26
50,2020-02-17,INDUSTRIAL,10280,22
51,2021-06-21,INDUSTRIAL,73,35
52,2019-01-07,INDUSTRIAL,2350,49
54,2019-01-15,INDUSTRIAL,8924,48
55,2021-07-02,INDUSTRIAL,144,80
56,2021-06-11,INDUSTRIAL,38,2
57,2021-06-08,INDUSTRIAL,1331,7
58,2021-06-29,INDUSTRIAL,204,39
59,2021-06-14,INDUSTRIAL,19494,64
60,2021-06-17,INDUSTRIAL,88,9
61,2021-07-02,INDUSTRIAL,348,3
62,2020-03-02,INDUSTRIAL,3580,59
63,2021-06-29,INDUSTRIAL,130,70
64,2019-02-04,INDUSTRIAL,1745,87
65,2021-06-14,INDUSTRIAL,69,60
66,2021-07-18,INDUSTRIAL,1595,40
67,2021-06-28,INDUSTRIAL,179,69
68,2021-06-15,INDUSTRIAL,1430,73
70,2021-06-18,INDUSTRIAL,22728,75
71,2019-01-11,INDUSTRIAL,366,28
72,2021-06-13,INDUSTRIAL,897,4
73,2021-07-23,INDUSTRIAL,4002,25
74,2021-04-24,INDUSTRIAL,10,72
75,2019-10-08,INDUSTRIAL,18065,47
76,2020-02-25,INDUSTRIAL,17480,1
77,2020-03-25,INDUSTRIAL,4754,17
78,2021-06-27,INDUSTRIAL,326,57
79,2021-06-27,INDUSTRIAL,920,6
80,2021-07-31,INDUSTRIAL,9,38
81,2019-02-07,INDUSTRIAL,621,85
82,2019-10-31,INDUSTRIAL,7453,51
84,2021-06-15,INDUSTRIAL,688,10
85,2021-06-13,INDUSTRIAL,1,13
86,2020-05-12,INDUSTRIAL,61,88
88,2021-06-16,INDUSTRIAL,42,67
89,2021-06-09,INDUSTRIAL,152,36
90,2021-06-26,INDUSTRIAL,323,79
91,2021-06-23,INDUSTRIAL,61,15
92,2019-03-20,INDUSTRIAL,2340,52
93,2021-06-29,INDUSTRIAL,5359,50
95,2021-06-13,INDUSTRIAL,45,41
97,2019-01-17,INDUSTRIAL,531,84
98,2021-06-26,INDUSTRIAL,84,26
99,2020-02-05,INDUSTRIAL,8490,22
100,2021-06-26,INDUSTRIAL,20,35
101,2019-01-28,INDUSTRIAL,2050,49
102,2020-02-20,INDUSTRIAL,24592,86
103,2019-01-25,INDUSTRIAL,9530,48
104,2021-07-03,INDUSTRIAL,57,80
105,2021-06-14,INDUSTRIAL,28,2
