,FECHA,USO,CONSUMO,ID_CONTADOR
0,2021-02-02,INDUSTRIAL,492,45
1,2020-05-18,INDUSTRIAL,72,30
2,2021-08-01,INDUSTRIAL,93,28
3,2021-11-24,INDUSTRIAL,275,8
5,2020-10-01,INDUSTRIAL,3,23
6,2021-07-30,INDUSTRIAL,321,31
8,2020-09-13,INDUSTRIAL,48,35
9,2020-09-13,INDUSTRIAL,206,0
10,2019-01-19,INDUSTRIAL,7,14
11,2021-11-07,INDUSTRIAL,4,30
12,2020-09-14,INDUSTRIAL,12,42
13,2019-08-23,INDUSTRIAL,124,23
14,2021-01-24,INDUSTRIAL,26,7
15,2020-09-11,INDUSTRIAL,1238,17
16,2021-11-18,INDUSTRIAL,1250,47
17,2021-07-27,INDUSTRIAL,308,0
18,2020-11-18,INDUSTRIAL,48,22
19,2020-09-11,INDUSTRIAL,268,0
20,2019-12-01,INDUSTRIAL,1103,1
21,2020-09-11,INDUSTRIAL,149,4
22,2020-07-29,INDUSTRIAL,265,19
23,2021-07-10,INDUSTRIAL,746,41
24,2019-01-30,INDUSTRIAL,257,0
26,2021-06-08,INDUSTRIAL,29,2
27,2020-09-02,INDUSTRIAL,91,32
28,2020-09-04,INDUSTRIAL,53,42
29,2020-09-10,INDUSTRIAL,5,12
30,2020-06-18,INDUSTRIAL,85,13
31,2020-02-22,INDUSTRIAL,604,12
32,2020-08-29,INDUSTRIAL,49,5
33,2019-11-08,INDUSTRIAL,14,2
34,2020-07-12,INDUSTRIAL,9,38
35,2020-11-21,INDUSTRIAL,70,41
36,2020-09-11,INDUSTRIAL,65,31
37,2020-08-05,INDUSTRIAL,58,6
38,2020-01-07,INDUSTRIAL,4,29
39,2020-05-19,INDUSTRIAL,45,20
40,2020-08-26,INDUSTRIAL,14,6
41,2021-10-23,INDUSTRIAL,102,31
42,2020-10-03,INDUSTRIAL,9,30
43,2021-11-08,INDUSTRIAL,485,41
44,2020-10-14,INDUSTRIAL,1386,27
45,2020-09-03,INDUSTRIAL,1,15
46,2021-12-08,INDUSTRIAL,323,0
47,2020-10-18,INDUSTRIAL,22,35
49,2020-09-09,INDUSTRIAL,118,43
50,2020-09-05,INDUSTRIAL,174,31
51,2021-12-14,INDUSTRIAL,373,46
52,2020-09-14,INDUSTRIAL,437,4
54,2020-09-18,INDUSTRIAL,1180,41
55,2019-12-28,INDUSTRIAL,84,28
56,2021-12-11,INDUSTRIAL,734,46
57,2021-04-16,INDUSTRIAL,177,44
58,2021-08-14,INDUSTRIAL,409,31
59,2019-01-21,INDUSTRIAL,407,17
60,2021-02-01,INDUSTRIAL,164,45
61,2020-05-22,INDUSTRIAL,12,30
62,2021-08-07,INDUSTRIAL,93,28
63,2021-11-25,INDUSTRIAL,294,8
64,2020-09-17,INDUSTRIAL,267,39
65,2020-08-31,INDUSTRIAL,3,23
66,2021-07-29,INDUSTRIAL,317,31
68,2021-01-24,INDUSTRIAL,180,38
69,2021-02-01,INDUSTRIAL,33,35
70,2019-01-21,INDUSTRIAL,12,14
71,2021-11-06,INDUSTRIAL,8,30
72,2020-10-24,INDUSTRIAL,257,34
73,2019-02-05,INDUSTRIAL,295,23
74,2021-01-10,INDUSTRIAL,41,7
75,2020-08-20,INDUSTRIAL,303,7
76,2021-11-16,INDUSTRIAL,979,47
77,2021-07-26,INDUSTRIAL,405,0
78,2020-09-15,INDUSTRIAL,256,0
80,2020-06-13,INDUSTRIAL,117,10
81,2020-07-30,INDUSTRIAL,156,19
82,2021-07-09,INDUSTRIAL,724,41
83,2019-01-27,INDUSTRIAL,260,0
85,2021-06-07,INDUSTRIAL,28,2
86,2020-08-26,INDUSTRIAL,117,32
87,2020-09-02,INDUSTRIAL,1,42
88,2021-09-08,INDUSTRIAL,294,34
89,2019-01-21,INDUSTRIAL,577,13
90,2020-02-10,INDUSTRIAL,99,12
91,2020-08-28,INDUSTRIAL,182,5
92,2019-11-29,INDUSTRIAL,13,2
93,2020-07-14,INDUSTRIAL,468,38
94,2020-11-28,INDUSTRIAL,168,41
95,2020-09-15,INDUSTRIAL,266,39
96,2020-08-03,INDUSTRIAL,42,6
97,2020-01-05,INDUSTRIAL,628,29
99,2020-08-29,INDUSTRIAL,7,6
100,2021-11-14,INDUSTRIAL,82,31
101,2020-10-24,INDUSTRIAL,17,30
102,2021-11-14,INDUSTRIAL,519,41
104,2020-09-04,INDUSTRIAL,1,15
105,2021-12-10,INDUSTRIAL,527,0
106,2020-10-15,INDUSTRIAL,19,35
107,2021-01-09,INDUSTRIAL,419,45
108,2021-10-01,INDUSTRIAL,1387,47
109,2020-09-03,INDUSTRIAL,162,31
110,2021-12-12,INDUSTRIAL,696,46
111,2021-11-07,INDUSTRIAL,149,38
113,2020-09-20,INDUSTRIAL,1171,41
114,2019-12-29,INDUSTRIAL,84,28
115,2020-12-28,INDUSTRIAL,170,0
116,2021-04-15,INDUSTRIAL,227,44
117,2021-08-31,INDUSTRIAL,430,31
118,2019-01-10,INDUSTRIAL,530,17
119,2021-02-03,INDUSTRIAL,401,45
120,2020-05-27,INDUSTRIAL,17,30
121,2021-08-05,INDUSTRIAL,231,28
122,2021-11-23,INDUSTRIAL,392,8
123,2020-09-20,INDUSTRIAL,1621,39
124,2020-08-24,INDUSTRIAL,4,23
125,2021-07-26,INDUSTRIAL,439,31
126,2020-07-17,INDUSTRIAL,1636,7
127,2021-01-15,INDUSTRIAL,425,38
128,2021-02-05,INDUSTRIAL,34,35
129,2019-01-23,INDUSTRIAL,3,14
130,2021-11-05,INDUSTRIAL,7,30
131,2020-10-18,INDUSTRIAL,315,34
132,2019-02-01,INDUSTRIAL,271,23
133,2021-01-23,INDUSTRIAL,647,7
134,2020-08-21,INDUSTRIAL,419,7
136,2021-07-23,INDUSTRIAL,295,0
137,2020-09-10,INDUSTRIAL,8,6
138,2019-12-22,INDUSTRIAL,1249,1
