,FECHA,USO,CONSUMO,ID_CONTADOR
0,2019-03-17,INDUSTRIAL,29,69
1,2019-03-11,INDUSTRIAL,337,5
3,2019-03-08,INDUSTRIAL,590,48
4,2019-02-04,INDUSTRIAL,1290,26
5,2019-03-02,INDUSTRIAL,199,45
7,2019-03-21,INDUSTRIAL,254,65
8,2019-03-23,INDUSTRIAL,1739,91
9,2019-02-24,INDUSTRIAL,18,58
11,2020-02-09,INDUSTRIAL,1,121
12,2021-11-26,INDUSTRIAL,1072,74
13,2019-03-21,INDUSTRIAL,15,72
14,2019-02-24,INDUSTRIAL,57,41
15,2019-02-06,INDUSTRIAL,68,59
16,2019-01-05,INDUSTRIAL,89,88
17,2019-01-03,INDUSTRIAL,43,63
18,2019-01-27,INDUSTRIAL,7,40
19,2019-06-15,INDUSTRIAL,22,16
20,2019-02-04,INDUSTRIAL,127,150
21,2021-01-29,INDUSTRIAL,2283,125
22,2019-03-09,INDUSTRIAL,1,4
23,2019-01-17,INDUSTRIAL,21,8
24,2019-03-13,INDUSTRIAL,228,7
25,2019-06-20,INDUSTRIAL,2496,93
26,2019-02-18,INDUSTRIAL,17,11
27,2019-02-23,INDUSTRIAL,3400,154
29,2019-03-09,INDUSTRIAL,132,44
30,2020-03-18,INDUSTRIAL,64,122
31,2019-01-06,INDUSTRIAL,812,39
32,2020-02-18,INDUSTRIAL,3791,2
34,2019-01-01,INDUSTRIAL,1018,61
36,2019-04-08,INDUSTRIAL,1289,15
37,2020-01-29,INDUSTRIAL,25,117
38,2019-01-31,INDUSTRIAL,4,57
39,2019-02-20,INDUSTRIAL,150,51
40,2020-01-30,INDUSTRIAL,398,124
41,2019-01-04,INDUSTRIAL,242,6
42,2019-02-08,INDUSTRIAL,1076,55
43,2019-02-24,INDUSTRIAL,2897,77
44,2019-02-06,INDUSTRIAL,264,53
45,2019-01-17,INDUSTRIAL,3,80
46,2019-02-06,INDUSTRIAL,127,79
47,2021-03-09,INDUSTRIAL,1908,129
48,2020-05-30,INDUSTRIAL,5,25
49,2019-01-01,INDUSTRIAL,2250,35
50,2020-03-05,INDUSTRIAL,1,120
51,2019-02-06,INDUSTRIAL,1448,50
52,2019-01-15,INDUSTRIAL,2340,84
53,2019-01-28,INDUSTRIAL,1402,56
54,2019-03-05,INDUSTRIAL,235,42
55,2019-01-06,INDUSTRIAL,25,49
56,2019-03-05,INDUSTRIAL,20,69
57,2019-03-05,INDUSTRIAL,52,5
59,2019-03-30,INDUSTRIAL,31,48
60,2019-02-17,INDUSTRIAL,890,26
61,2019-03-12,INDUSTRIAL,355,45
62,2019-02-13,INDUSTRIAL,1303,141
63,2019-03-05,INDUSTRIAL,455,65
64,2019-03-13,INDUSTRIAL,2191,91
65,2019-02-12,INDUSTRIAL,56,58
66,2019-05-04,INDUSTRIAL,1418,94
67,2020-02-18,INDUSTRIAL,2,121
68,2021-11-22,INDUSTRIAL,726,74
69,2019-03-05,INDUSTRIAL,30,72
70,2019-02-03,INDUSTRIAL,104,41
71,2019-02-05,INDUSTRIAL,77,59
72,2019-01-27,INDUSTRIAL,8,88
73,2019-01-30,INDUSTRIAL,93,63
74,2019-01-27,INDUSTRIAL,99,70
75,2019-06-01,INDUSTRIAL,20,16
76,2019-02-09,INDUSTRIAL,27,150
77,2020-12-30,INDUSTRIAL,60,125
78,2019-03-27,INDUSTRIAL,1,4
79,2019-01-01,INDUSTRIAL,13,8
80,2019-03-06,INDUSTRIAL,271,7
81,2019-03-09,INDUSTRIAL,688,66
82,2019-02-26,INDUSTRIAL,17,11
85,2019-03-05,INDUSTRIAL,181,44
86,2020-03-14,INDUSTRIAL,117,122
87,2019-01-13,INDUSTRIAL,613,39
88,2020-02-03,INDUSTRIAL,3968,2
89,2019-01-14,INDUSTRIAL,1750,75
90,2019-01-07,INDUSTRIAL,23,61
92,2019-04-10,INDUSTRIAL,1142,15
93,2020-01-13,INDUSTRIAL,5,117
94,2019-01-29,INDUSTRIAL,12,57
95,2019-02-06,INDUSTRIAL,25,51
96,2020-01-31,INDUSTRIAL,265,124
97,2019-01-20,INDUSTRIAL,87,6
98,2019-02-14,INDUSTRIAL,106,9
99,2019-02-18,INDUSTRIAL,1834,77
100,2019-02-12,INDUSTRIAL,269,53
101,2019-01-08,INDUSTRIAL,1,80
102,2019-02-15,INDUSTRIAL,94,79
103,2021-03-11,INDUSTRIAL,2052,129
104,2020-05-20,INDUSTRIAL,1579,25
106,2020-03-30,INDUSTRIAL,7,120
107,2019-02-13,INDUSTRIAL,3504,50
108,2019-01-10,INDUSTRIAL,2266,84
109,2019-01-09,INDUSTRIAL,544,56
110,2019-03-12,INDUSTRIAL,178,42
111,2019-01-14,INDUSTRIAL,118,49
112,2019-03-08,INDUSTRIAL,12,69
113,2019-03-22,INDUSTRIAL,327,5
115,2019-03-05,INDUSTRIAL,562,48
116,2019-02-03,INDUSTRIAL,1710,26
117,2019-03-13,INDUSTRIAL,428,45
119,2019-03-09,INDUSTRIAL,1089,65
120,2019-03-02,INDUSTRIAL,2881,91
121,2019-02-19,INDUSTRIAL,96,58
122,2019-05-25,INDUSTRIAL,1387,94
123,2020-02-11,INDUSTRIAL,2,121
124,2021-11-23,INDUSTRIAL,1755,74
125,2019-03-12,INDUSTRIAL,52,72
126,2019-02-17,INDUSTRIAL,148,41
127,2019-02-11,INDUSTRIAL,51,59
128,2019-01-24,INDUSTRIAL,1338,88
129,2019-01-24,INDUSTRIAL,805,63
130,2019-01-09,INDUSTRIAL,757,70
131,2019-06-06,INDUSTRIAL,1159,16
132,2019-02-17,INDUSTRIAL,405,150
133,2020-12-29,INDUSTRIAL,31,125
134,2019-03-05,INDUSTRIAL,16,4
135,2019-01-03,INDUSTRIAL,11,8
136,2019-03-10,INDUSTRIAL,16,7
137,2019-03-03,INDUSTRIAL,66,66
138,2019-02-07,INDUSTRIAL,60,11
139,2019-02-16,INDUSTRIAL,790,154
141,2019-03-03,INDUSTRIAL,131,44
142,2020-03-17,INDUSTRIAL,51,122
144,2020-02-04,INDUSTRIAL,4101,2
145,2019-01-11,INDUSTRIAL,1346,75
146,2019-01-15,INDUSTRIAL,679,61
147,2019-06-24,INDUSTRIAL,3910,157
148,2019-04-18,INDUSTRIAL,793,15
149,2020-01-09,INDUSTRIAL,769,117
150,2019-01-30,INDUSTRIAL,11,57
151,2019-02-07,INDUSTRIAL,26,51
152,2020-07-19,INDUSTRIAL,24,124
153,2019-01-10,INDUSTRIAL,82,6
154,2019-02-06,INDUSTRIAL,23,9
155,2019-02-07,INDUSTRIAL,1710,77
156,2019-02-04,INDUSTRIAL,192,53
157,2019-01-03,INDUSTRIAL,6,80
158,2019-02-17,INDUSTRIAL,176,79
159,2021-03-12,INDUSTRIAL,1704,129
162,2020-03-13,INDUSTRIAL,368,120
163,2019-02-20,INDUSTRIAL,409,50
164,2019-01-31,INDUSTRIAL,3890,84
165,2019-01-27,INDUSTRIAL,4,56
166,2019-03-25,INDUSTRIAL,266,42
167,2019-01-20,INDUSTRIAL,3,49
168,2019-03-11,INDUSTRIAL,11,69
169,2019-03-23,INDUSTRIAL,2,5
171,2019-03-04,INDUSTRIAL,558,48
173,2019-03-20,INDUSTRIAL,325,45
175,2019-03-13,INDUSTRIAL,228,65
176,2019-03-16,INDUSTRIAL,2108,91
177,2019-02-06,INDUSTRIAL,35,58
178,2019-05-19,INDUSTRIAL,1394,94
179,2020-02-17,INDUSTRIAL,15,121
180,2021-11-24,INDUSTRIAL,1480,74
181,2019-03-07,INDUSTRIAL,47,72
182,2019-02-19,INDUSTRIAL,16,41
183,2019-02-23,INDUSTRIAL,378,59
184,2019-01-03,INDUSTRIAL,839,88
185,2019-01-29,INDUSTRIAL,265,63
186,2019-01-03,INDUSTRIAL,94,40
187,2019-06-03,INDUSTRIAL,647,16
188,2019-02-07,INDUSTRIAL,16,150
189,2020-12-28,INDUSTRIAL,23,125
190,2019-06-26,INDUSTRIAL,6,4
191,2019-01-07,INDUSTRIAL,7,8
192,2019-03-14,INDUSTRIAL,175,7
193,2019-03-05,INDUSTRIAL,323,66
194,2019-02-27,INDUSTRIAL,116,11
197,2019-03-10,INDUSTRIAL,132,44
198,2020-03-15,INDUSTRIAL,98,122
199,2019-01-03,INDUSTRIAL,3864,39
200,2020-02-23,INDUSTRIAL,76,2
201,2019-01-08,INDUSTRIAL,3072,75
202,2019-01-02,INDUSTRIAL,849,61
204,2019-04-24,INDUSTRIAL,1085,15
205,2020-01-11,INDUSTRIAL,1,117
206,2019-01-19,INDUSTRIAL,1,57
207,2019-02-27,INDUSTRIAL,223,51
208,2020-07-28,INDUSTRIAL,171,124
209,2019-01-16,INDUSTRIAL,115,6
210,2019-02-08,INDUSTRIAL,52,9
212,2019-02-14,INDUSTRIAL,293,53
213,2019-01-16,INDUSTRIAL,104,80
214,2019-02-14,INDUSTRIAL,91,79
215,2021-03-13,INDUSTRIAL,1188,129
216,2020-05-26,INDUSTRIAL,5,25
