FECHA,SUM_CONSUMO
2019-1,399121
2019-2,362217
2019-3,442931
2019-4,572378
2019-5,603520
2019-6,620802
2019-7,602719
2019-8,641599
2019-9,969925
2019-10,1360498
2019-11,1294196
2019-12,1177914
2020-1,1248182
2020-2,1481192
2020-3,1300119
2020-4,1067846
2020-5,1218548
2020-6,1100749
2020-7,973989
2020-8,759133
2020-9,1075667
2020-10,1221905
2020-11,1428792
2020-12,1191807
2021-1,1068893
2021-2,1050587
2021-3,1111920
2021-4,1073788
2021-5,1747445
2021-6,5557669
2021-7,5831979
2021-8,5058024
2021-9,5794775
2021-10,6260118
2021-11,6043109
2021-12,2504754
