FECHA,SUM_CONSUMO
2019-1,73318081
2019-2,70381136
2019-3,80963329
2019-4,78497495
2019-5,84726652
2019-6,83214940
2019-7,92785027
2019-8,89948569
2019-9,98886633
2019-10,112581027
2019-11,112932077
2019-12,112501525
2020-1,117302602
2020-2,138352777
2020-3,120297691
2020-4,70044445
2020-5,92994310
2020-6,109488639
2020-7,125308541
2020-8,129075272
2020-9,135466773
2020-10,139802093
2020-11,116620134
2020-12,94819168
2021-1,91622845
2021-2,90149001
2021-3,99698945
2021-4,108717570
2021-5,123863189
2021-6,133981281
2021-7,142824513
2021-8,131594306
2021-9,138902410
2021-10,144066403
2021-11,142451430
2021-12,68417220
