FECHA,SUM_CONSUMO
2019-1,477461
2019-2,451313
2019-3,488919
2019-4,499894
2019-5,500784
2019-6,534693
2019-7,571517
2019-8,500999
2019-9,475654
2019-10,503444
2019-11,485716
2019-12,486391
2020-1,492303
2020-2,706996
2020-3,573407
2020-4,499122
2020-5,659933
2020-6,749815
2020-7,667185
2020-8,722426
2020-9,727012
2020-10,708021
2020-11,560375
2020-12,546760
2021-1,544867
2021-2,519988
2021-3,577406
2021-4,561929
2021-5,577491
2021-6,534031
2021-7,451629
2021-8,369064
2021-9,415561
2021-10,440515
2021-11,465311
2021-12,219627
