FECHA,SUM_CONSUMO
2019-1,2460732
2019-2,2551546
2019-3,3862598
2019-4,4253856
2019-5,4684285
2019-6,5238745
2019-7,6634362
2019-8,6526622
2019-9,6279379
2019-10,6732822
2019-11,5949563
2019-12,5341654
2020-1,5514237
2020-2,7329131
2020-3,6412178
2020-4,4549977
2020-5,6411194
2020-6,8612262
2020-7,9701957
2020-8,10509529
2020-9,9471813
2020-10,8326559
2020-11,6430299
2020-12,5169177
2021-1,4946724
2021-2,4853717
2021-3,5709306
2021-4,6062859
2021-5,6945994
2021-6,7457196
2021-7,8386490
2021-8,7565707
2021-9,6672656
2021-10,6655261
2021-11,6063768
2021-12,2787623
