FECHA,SUM_CONSUMO
2019-1,511967
2019-2,598290
2019-3,904197
2019-4,1037558
2019-5,1119420
2019-6,1141478
2019-7,1346860
2019-8,2893111
2019-9,2397116
2019-10,2608157
2019-11,2502889
2019-12,2254169
2020-1,2799731
2020-2,3973678
2020-3,3066120
2020-4,1793387
2020-5,1596863
2020-6,1565906
2020-7,2249687
2020-8,2541993
2020-9,2098769
2020-10,2236173
2020-11,2354124
2020-12,2813556
2021-1,3477681
2021-2,4211285
2021-3,5609263
2021-4,6087592
2021-5,6073314
2021-6,7231434
2021-7,8012636
2021-8,8104315
2021-9,7609457
2021-10,6354320
2021-11,5855497
2021-12,3405865
