FECHA,SUM_CONSUMO
2019-1,1177074
2019-2,1163175
2019-3,1138871
2019-4,703260
2019-5,1121076
2019-6,1104317
2019-7,1061647
2019-8,982369
2019-9,1348342
2019-10,1837259
2019-11,2478963
2019-12,2311360
2020-1,2481736
2020-2,2457485
2020-3,2569206
2020-4,1794315
2020-5,2743615
2020-6,3225980
2020-7,3045660
2020-8,2182931
2020-9,2060341
2020-10,2525866
2020-11,2516845
2020-12,1890447
2021-1,3003087
2021-2,5274083
2021-3,6384592
2021-4,6261630
2021-5,7085975
2021-6,7262634
2021-7,7391566
2021-8,6341826
2021-9,7256811
2021-10,6895431
2021-11,6643912
2021-12,3069146
