FECHA,SUM_CONSUMO
2019-1,896252
2019-2,854439
2019-3,965710
2019-4,883573
2019-5,957177
2019-6,867013
2019-7,1020501
2019-8,754834
2019-9,895279
2019-10,945692
2019-11,804887
2019-12,735298
2020-1,834151
2020-2,902017
2020-3,876304
2020-4,623066
2020-5,753991
2020-6,829393
2020-7,893237
2020-8,737954
2020-9,836409
2020-10,853228
2020-11,806057
2020-12,757909
2021-1,760918
2021-2,779902
2021-3,931067
2021-4,826514
2021-5,870458
2021-6,958324
2021-7,965588
2021-8,690307
2021-9,954859
2021-10,895440
2021-11,903619
2021-12,359886
