FECHA,SUM_CONSUMO
2019-1,1308522
2019-2,1743611
2019-3,2515679
2019-4,2613810
2019-5,2833161
2019-6,3260121
2019-7,3753970
2019-8,3596448
2019-9,4466883
2019-10,5779243
2019-11,5060123
2019-12,4801396
2020-1,5120478
2020-2,5827563
2020-3,5358846
2020-4,3962890
2020-5,5228603
2020-6,5758840
2020-7,5708694
2020-8,4016993
2020-9,4297464
2020-10,5411058
2020-11,5571681
2020-12,2650973
2021-1,2853266
2021-2,2795350
2021-3,3418676
2021-4,3583679
2021-5,3357388
2021-6,3543238
2021-7,4029057
2021-8,3703736
2021-9,3754724
2021-10,3494664
2021-11,3156952
2021-12,1417064
