FECHA,SUM_CONSUMO
2019-1,2304270
2019-2,2154782
2019-3,2499092
2019-4,2330983
2019-5,2491314
2019-6,2262020
2019-7,2701441
2019-8,2076909
2019-9,2450261
2019-10,2740729
2019-11,2544087
2019-12,2334925
2020-1,2561888
2020-2,3059790
2020-3,2636517
2020-4,1780861
2020-5,2512133
2020-6,2829002
2020-7,2761223
2020-8,2468354
2020-9,2919436
2020-10,2910352
2020-11,2834892
2020-12,2689324
2021-1,2668111
2021-2,2720151
2021-3,3060805
2021-4,2759842
2021-5,2947597
2021-6,2938881
2021-7,3080392
2021-8,2543087
2021-9,3085091
2021-10,3089906
2021-11,3258067
2021-12,1306198
