FECHA,SUM_CONSUMO
2019-1,5182365
2019-2,4789479
2019-3,5810492
2019-4,5490353
2019-5,6379703
2019-6,6519951
2019-7,7934874
2019-8,6870969
2019-9,6923119
2019-10,7704184
2019-11,7069853
2019-12,6915627
2020-1,7542396
2020-2,8082877
2020-3,7571568
2020-4,5552300
2020-5,7103233
2020-6,8352082
2020-7,9115504
2020-8,8772632
2020-9,8918135
2020-10,8988059
2020-11,7718121
2020-12,6139944
2021-1,6173081
2021-2,6134656
2021-3,7838090
2021-4,7988592
2021-5,8526887
2021-6,8963069
2021-7,9744006
2021-8,8065583
2021-9,9278779
2021-10,9286626
2021-11,9355141
2021-12,4260055
