FECHA,SUM_CONSUMO
2019-1,3030029
2019-2,6281405
2019-3,779314
2019-4,9575867
2019-5,6750141
2019-6,16140416
2019-7,16616373
2019-8,18116450
2019-9,23375208
2019-10,16950776
2019-11,17025836
2019-12,13806679
2020-1,10463909
2020-2,9793270
2020-3,17840387
2020-4,21264468
2020-5,26932003
2020-6,25896695
2020-7,23070665
2020-8,35834250
2020-9,27000600
2020-10,30091650
2020-11,20039430
2020-12,6963500
2021-1,13235400
2021-2,21459440
2021-3,28652800
2021-4,30083200
2021-5,29671600
2021-6,29877000
2021-7,29205200
2021-8,23227600
2021-9,24773600
2021-10,28101500
2021-11,26870700
2021-12,12199200
