FECHA,SUM_CONSUMO
2019-1,13440792
2019-2,12789988
2019-3,15102693
2019-4,15715580
2019-5,17508382
2019-6,16910097
2019-7,13964341
2019-8,15521758
2019-9,21276071
2019-10,17902856
2019-11,13970146
2019-12,12944031
2020-1,14239664
2020-2,14359841
2020-3,15460614
2020-4,14793604
2020-5,19160255
2020-6,24228731
2020-7,27507866
2020-8,26896144
2020-9,18929417
2020-10,18468512
2020-11,17698684
2020-12,18777691
2021-1,17869520
2021-2,16823180
2021-3,18443487
2021-4,16946169
2021-5,17614104
2021-6,17284924
2021-7,20196692
2021-8,19002296
2021-9,16903533
2021-10,15874985
2021-11,13498176
2021-12,6912733
