FECHA,SUM_CONSUMO
2019-1,536773
2019-2,465970
2019-3,615305
2019-4,613145
2019-5,634308
2019-6,754012
2019-7,1196604
2019-8,1591897
2019-9,1509995
2019-10,1517744
2019-11,1401362
2019-12,1332354
2020-1,1426226
2020-2,1622946
2020-3,1594028
2020-4,1206353
2020-5,1474129
2020-6,1663597
2020-7,1756713
2020-8,1806451
2020-9,1789203
2020-10,1722831
2020-11,1453041
2020-12,1110714
2021-1,1008270
2021-2,1004935
2021-3,1173350
2021-4,1089733
2021-5,1195765
2021-6,1235211
2021-7,1212182
2021-8,1005614
2021-9,1301263
2021-10,1499161
2021-11,1518834
2021-12,630602
