FECHA,SUM_CONSUMO
2019-1,259250
2019-2,249321
2019-3,377791
2019-4,302096
2019-5,383766
2019-6,375760
2019-7,356098
2019-8,269759
2019-9,510835
2019-10,702771
2019-11,577336
2019-12,545760
2020-1,637538
2020-2,568847
2020-3,571212
2020-4,396114
2020-5,546745
2020-6,607522
2020-7,603658
2020-8,739900
2020-9,747702
2020-10,834297
2020-11,665910
2020-12,265470
2021-1,253227
2021-2,229252
2021-3,301529
2021-4,306923
2021-5,293308
2021-6,265205
2021-7,200621
2021-8,198840
2021-9,271536
2021-10,350447
2021-11,315605
2021-12,134441
