FECHA,SUM_CONSUMO
2019-1,1337443
2019-2,1203859
2019-3,1427388
2019-4,1413036
2019-5,1575973
2019-6,1648336
2019-7,1865102
2019-8,1437982
2019-9,1677579
2019-10,1465318
2019-11,1517662
2019-12,1768251
2020-1,1631306
2020-2,1734201
2020-3,1595644
2020-4,1235985
2020-5,1664765
2020-6,1910220
2020-7,1855953
2020-8,1892206
2020-9,1988944
2020-10,2086933
2020-11,1684686
2020-12,1252124
2021-1,1225011
2021-2,1243505
2021-3,1570625
2021-4,1458933
2021-5,1554575
2021-6,1459162
2021-7,1686216
2021-8,1607806
2021-9,1603654
2021-10,1705102
2021-11,1806248
2021-12,764106
