FECHA,SUM_CONSUMO
2019-1,1142963
2019-2,1148394
2019-3,1290480
2019-4,1605747
2019-5,1380590
2019-6,1546686
2019-7,1741686
2019-8,1712624
2019-9,2030778
2019-10,2787427
2019-11,2565502
2019-12,2955479
2020-1,2844124
2020-2,2738416
2020-3,2755707
2020-4,2273347
2020-5,2531426
2020-6,3214568
2020-7,3097782
2020-8,2718030
2020-9,2500579
2020-10,3020199
2020-11,2576017
2020-12,3447810
2021-1,3625123
2021-2,3304446
2021-3,3999654
2021-4,3857494
2021-5,4073742
2021-6,4847459
2021-7,5032834
2021-8,4313169
2021-9,4477858
2021-10,4819415
2021-11,4750774
2021-12,2657380
