FECHA,SUM_CONSUMO
2019-1,40594
2019-2,37240
2019-3,39516
2019-4,41085
2019-5,42014
2019-6,45554
2019-7,47125
2019-8,49512
2019-9,40128
2019-10,49477
2019-11,41793
2019-12,38564
2020-1,44603
2020-2,264961
2020-3,259619
2020-4,183680
2020-5,204975
2020-6,241406
2020-7,236055
2020-8,221956
2020-9,280019
2020-10,279495
2020-11,264018
2020-12,224712
2021-1,213671
2021-2,232606
2021-3,258398
2021-4,243082
2021-5,251071
2021-6,255691
2021-7,245984
2021-8,177155
2021-9,228601
2021-10,216235
2021-11,207431
2021-12,81585
