FECHA,SUM_CONSUMO
2019-1,21266681
2019-2,20182181
2019-3,24648215
2019-4,17003692
2019-5,12670609
2019-6,22573497
2019-7,34064589
2019-8,35498852
2019-9,33713174
2019-10,29317508
2019-11,29760485
2019-12,27040383
2020-1,24312047
2020-2,23422405
2020-3,17779917
2020-4,24648055
2020-5,29731599
2020-6,25163894
2020-7,32192542
2020-8,34286630
2020-9,20943212
2020-10,18136683
2020-11,28817625
2020-12,30205739
2021-1,31874646
2021-2,27103309
2021-3,34470282
2021-4,30136192
2021-5,21211927
2021-6,25592598
2021-7,27019458
2021-8,25945478
2021-9,22855985
2021-10,21374153
2021-11,20241003
2021-12,9047554
