FECHA,SUM_CONSUMO
2019-1,4737646
2019-2,4477464
2019-3,5014467
2019-4,4878622
2019-5,5384770
2019-6,5022037
2019-7,5687705
2019-8,4427831
2019-9,4871965
2019-10,4971896
2019-11,4600404
2019-12,4365910
2020-1,4666699
2020-2,5292568
2020-3,4737364
2020-4,3025876
2020-5,4177947
2020-6,5023891
2020-7,4721337
2020-8,4971767
2020-9,5537391
2020-10,5366114
2020-11,4478486
2020-12,3650791
2021-1,3381112
2021-2,3472983
2021-3,4055537
2021-4,3785671
2021-5,4192129
2021-6,4273362
2021-7,4635710
2021-8,3879999
2021-9,4407811
2021-10,4029689
2021-11,4107840
2021-12,1791432
