FECHA,SUM_CONSUMO
2019-1,3520686
2019-2,3905801
2019-3,4971242
2019-4,4844247
2019-5,4992093
2019-6,5454384
2019-7,5845745
2019-8,5208931
2019-9,4863733
2019-10,5546803
2019-11,4654228
2019-12,3821883
2020-1,4278764
2020-2,5152145
2020-3,4775895
2020-4,2958545
2020-5,4866119
2020-6,5304611
2020-7,5743454
2020-8,5907767
2020-9,5353860
2020-10,5824991
2020-11,3796026
2020-12,2205218
2021-1,2061833
2021-2,2138313
2021-3,2493859
2021-4,2366801
2021-5,2386395
2021-6,2508380
2021-7,2635741
2021-8,1935626
2021-9,2264607
2021-10,2171540
2021-11,2422888
2021-12,1005129
