FECHA,SUM_CONSUMO
2019-1,846470
2019-2,766983
2019-3,1033943
2019-4,1285600
2019-5,1555384
2019-6,1999518
2019-7,2330505
2019-8,2055333
2019-9,2198119
2019-10,3056217
2019-11,2698867
2019-12,2631251
2020-1,2654435
2020-2,2992204
2020-3,3539705
2020-4,2855085
2020-5,4185901
2020-6,4785035
2020-7,4823906
2020-8,2658966
2020-9,2723592
2020-10,2905638
2020-11,2869708
2020-12,2186816
2021-1,2059073
2021-2,1896939
2021-3,2501393
2021-4,2297815
2021-5,2417103
2021-6,2438259
2021-7,2614243
2021-8,2338638
2021-9,2272542
2021-10,2278345
2021-11,1965908
2021-12,906130
