FECHA,SUM_CONSUMO
2019-1,751979
2019-2,837500
2019-3,794761
2019-4,935005
2019-5,888801
2019-6,950077
2019-7,1579326
2019-8,1439551
2019-9,1654162
2019-10,2030606
2019-11,2077006
2019-12,2422951
2020-1,2374704
2020-2,3079468
2020-3,2627849
2020-4,1997679
2020-5,2359376
2020-6,2744730
2020-7,2587268
2020-8,2483885
2020-9,2591195
2020-10,2378350
2020-11,2049421
2020-12,1757180
2021-1,1441367
2021-2,1357948
2021-3,1523162
2021-4,1322437
2021-5,1867159
2021-6,3046107
2021-7,3201694
2021-8,2807853
2021-9,2994612
2021-10,3247791
2021-11,3132424
2021-12,1296602
