FECHA,SUM_CONSUMO
2019-1,123972
2019-2,92343
2019-3,114676
2019-4,117455
2019-5,136369
2019-6,153561
2019-7,142266
2019-8,149472
2019-9,136323
2019-10,118176
2019-11,141230
2019-12,157884
2020-1,129281
2020-2,133231
2020-3,134757
2020-4,60471
2020-5,85581
2020-6,105329
2020-7,220149
2020-8,217002
2020-9,284103
2020-10,249827
2020-11,198277
2020-12,156833
2021-1,151826
2021-2,152400
2021-3,199233
2021-4,204314
2021-5,181743
2021-6,198358
2021-7,200634
2021-8,202373
2021-9,227673
2021-10,186138
2021-11,226794
2021-12,93950
