FECHA,SUM_CONSUMO
2019-1,726304
2019-2,658416
2019-3,912398
2019-4,856553
2019-5,1038704
2019-6,1240699
2019-7,1358888
2019-8,1257766
2019-9,1182955
2019-10,1242599
2019-11,1051885
2019-12,1074603
2020-1,1248797
2020-2,1306877
2020-3,1271248
2020-4,630102
2020-5,1456096
2020-6,1578738
2020-7,1827971
2020-8,1722994
2020-9,1655755
2020-10,1663804
2020-11,1408878
2020-12,1450024
2021-1,1282681
2021-2,1232821
2021-3,1536660
2021-4,1432838
2021-5,1532436
2021-6,1395516
2021-7,1584008
2021-8,1437897
2021-9,1557190
2021-10,1540410
2021-11,1482113
2021-12,652211
