FECHA,CIUDAD,NUM_CONTADOR
2019-01-01,SANT FELIU LL.,406834
2019-01-01,SANT ADRIA,250447
2019-01-01,EL PAPIOL,38778
2019-01-01,STA.COLOMA CERVELLO,5
2019-01-01,MONTCADA I REIXAC,70721
2019-01-01,CERDANYOLA,533
2019-01-01,SANT JOAN DESPI,324849
2019-01-01,BADALONA,1124
2019-01-01,BARCELONA,40917360
2019-01-01,LA LLAGOSTA,59
2019-01-01,ESPLUGUES,130586
2019-01-01,STA.COLOMA GRAMENET,466
2019-01-01,SANT BOI,859
2019-01-01,CASTELLDEFELS,297986
2019-01-01,VILADECANS,70286
2019-01-01,LES BOTIGUES SITGES,1966
2019-01-01,SANT JUST DESVERN,44981
2019-01-01,L'HOSPITALET LLOBR.,12322236
2019-01-01,PALLEJA,69058
2019-01-01,MONTGAT,2204
2019-01-01,SANT CUGAT,136
2019-01-01,SANT CLIMENT LLOB.,14300
2019-01-01,BEGUES,62238
2019-01-01,TORRELLES LLOBREGAT,17187
2019-01-01,GAVA,296773
2019-01-01,CORNELLA,1423
2019-01-02,L'HOSPITALET LLOBR.,12357528
2019-01-02,BEGUES,62295
2019-01-02,MONTGAT,2382
2019-01-02,LES BOTIGUES SITGES,1966
2019-01-02,SANT CUGAT,136
2019-01-02,SANT JOAN DESPI,325218
2019-01-02,SANT JUST DESVERN,44981
2019-01-02,BARCELONA,41256530
2019-01-02,GAVA,297549
2019-01-02,SANT CLIMENT LLOB.,14322
2019-01-02,TORRELLES LLOBREGAT,17269
2019-01-02,CORNELLA,1394
2019-01-02,SANT ADRIA,250603
2019-01-02,STA.COLOMA GRAMENET,466
2019-01-02,CASTELLDEFELS,299182
2019-01-02,STA.COLOMA CERVELLO,5
2019-01-02,CERDANYOLA,533
2019-01-02,SANT BOI,795
2019-01-02,PALLEJA,69079
2019-01-02,VILADECANS,70101
2019-01-02,EL PAPIOL,38778
2019-01-02,SANT FELIU LL.,407067
2019-01-02,ESPLUGUES,130795
2019-01-02,MONTCADA I REIXAC,70721
2019-01-02,BADALONA,1104
2019-01-02,LA LLAGOSTA,59
2019-01-03,STA.COLOMA GRAMENET,468
2019-01-03,ESPLUGUES,130886
2019-01-03,VILADECANS,70319
2019-01-03,LA LLAGOSTA,59
2019-01-03,CORNELLA,1365
2019-01-03,SANT ADRIA,250748
2019-01-03,SANT BOI,795
2019-01-03,CASTELLDEFELS,299213
2019-01-03,STA.COLOMA CERVELLO,5
2019-01-03,MONTCADA I REIXAC,70721
2019-01-03,PALLEJA,69117
2019-01-03,BADALONA,1104
2019-01-03,SANT FELIU LL.,407211
2019-01-03,CERDANYOLA,533
2019-01-03,EL PAPIOL,38778
2019-01-03,SANT CUGAT,136
2019-01-03,BARCELONA,41605380
2019-01-03,L'HOSPITALET LLOBR.,12386580
2019-01-03,SANT JUST DESVERN,45088
2019-01-03,SANT JOAN DESPI,325395
2019-01-03,GAVA,297757
2019-01-03,BEGUES,62295
2019-01-03,MONTGAT,2475
2019-01-03,LES BOTIGUES SITGES,1966
2019-01-03,TORRELLES LLOBREGAT,17292
2019-01-03,SANT CLIMENT LLOB.,14304
2019-01-04,MONTCADA I REIXAC,70834
2019-01-04,TORRELLES LLOBREGAT,17315
2019-01-04,CERDANYOLA,533
2019-01-04,SANT JOAN DESPI,325677
2019-01-04,BARCELONA,41796270
2019-01-04,GAVA,297813
2019-01-04,SANT BOI,795
2019-01-04,CASTELLDEFELS,299572
2019-01-04,SANT JUST DESVERN,45062
2019-01-04,MONTGAT,2475
2019-01-04,SANT CUGAT,136
2019-01-04,BEGUES,62324
2019-01-04,LES BOTIGUES SITGES,1966
2019-01-04,SANT CLIMENT LLOB.,14253
2019-01-04,LA LLAGOSTA,59
2019-01-04,ESPLUGUES,131095
2019-01-04,BADALONA,1104
2019-01-04,VILADECANS,70215
2019-01-04,STA.COLOMA GRAMENET,468
2019-01-04,CORNELLA,1365
2019-01-04,SANT FELIU LL.,407395
2019-01-04,SANT ADRIA,250849
2019-01-04,EL PAPIOL,38778
2019-01-04,L'HOSPITALET LLOBR.,12405786
2019-01-04,PALLEJA,69079
2019-01-04,STA.COLOMA CERVELLO,5
2019-01-05,PALLEJA,69032
2019-01-05,SANT CLIMENT LLOB.,14253
2019-01-05,VILADECANS,69872
2019-01-05,ESPLUGUES,131038
2019-01-05,BADALONA,1124
2019-01-05,LA LLAGOSTA,59
2019-01-05,EL PAPIOL,38778
2019-01-05,L'HOSPITALET LLOBR.,12418008
2019-01-05,CORNELLA,1394
2019-01-05,SANT ADRIA,250857
2019-01-05,BARCELONA,41880020
2019-01-05,STA.COLOMA CERVELLO,5
2019-01-05,CASTELLDEFELS,299778
2019-01-05,GAVA,297984
2019-01-05,CERDANYOLA,533
2019-01-05,SANT BOI,795
2019-01-05,TORRELLES LLOBREGAT,17340
2019-01-05,SANT FELIU LL.,407528
2019-01-05,MONTCADA I REIXAC,70830
2019-01-05,BEGUES,62324
2019-01-05,MONTGAT,2579
2019-01-05,STA.COLOMA GRAMENET,440
2019-01-05,LES BOTIGUES SITGES,1966
2019-01-05,SANT CUGAT,136
2019-01-05,SANT JOAN DESPI,325701
2019-01-05,SANT JUST DESVERN,45113
2019-01-06,SANT BOI,795
2019-01-06,CASTELLDEFELS,299787
2019-01-06,STA.COLOMA CERVELLO,5
2019-01-06,GAVA,298018
2019-01-06,TORRELLES LLOBREGAT,17365
2019-01-06,MONTCADA I REIXAC,70830
2019-01-06,EL PAPIOL,38778
2019-01-06,SANT FELIU LL.,407650
2019-01-06,CERDANYOLA,533
2019-01-06,STA.COLOMA GRAMENET,440
2019-01-06,LA LLAGOSTA,59
2019-01-06,ESPLUGUES,131147
2019-01-06,VILADECANS,69408
2019-01-06,SANT CUGAT,136
2019-01-06,BARCELONA,41935130
2019-01-06,SANT JOAN DESPI,325804
2019-01-06,SANT JUST DESVERN,45081
2019-01-06,PALLEJA,69032
2019-01-06,SANT CLIMENT LLOB.,14293
2019-01-06,LES BOTIGUES SITGES,1966
2019-01-06,MONTGAT,2600
2019-01-06,BEGUES,62358
2019-01-06,BADALONA,1160
2019-01-06,CORNELLA,1365
2019-01-06,L'HOSPITALET LLOBR.,12419202
2019-01-06,SANT ADRIA,250832
2019-01-07,SANT JUST DESVERN,45021
2019-01-07,L'HOSPITALET LLOBR.,12432066
2019-01-07,PALLEJA,69001
2019-01-07,MONTGAT,2600
2019-01-07,BEGUES,62386
2019-01-07,LES BOTIGUES SITGES,1966
2019-01-07,SANT CLIMENT LLOB.,14299
2019-01-07,CORNELLA,1394
2019-01-07,SANT FELIU LL.,409795
2019-01-07,SANT ADRIA,250802
2019-01-07,EL PAPIOL,38778
2019-01-07,TORRELLES LLOBREGAT,17365
2019-01-07,CERDANYOLA,533
2019-01-07,STA.COLOMA CERVELLO,5
2019-01-07,GAVA,297977
2019-01-07,BADALONA,1160
2019-01-07,LA LLAGOSTA,59
2019-01-07,SANT CUGAT,136
2019-01-07,SANT JOAN DESPI,325929
2019-01-07,ESPLUGUES,131318
2019-01-07,BARCELONA,42127550
2019-01-07,MONTCADA I REIXAC,70830
2019-01-07,VILADECANS,69706
2019-01-07,STA.COLOMA GRAMENET,440
2019-01-07,SANT BOI,795
2019-01-07,CASTELLDEFELS,299764
2019-01-08,EL PAPIOL,38778
2019-01-08,CORNELLA,1394
2019-01-08,SANT FELIU LL.,410083
2019-01-08,SANT ADRIA,251071
2019-01-08,STA.COLOMA GRAMENET,440
2019-01-08,BARCELONA,42387350
2019-01-08,CASTELLDEFELS,300273
2019-01-08,STA.COLOMA CERVELLO,5
2019-01-08,MONTCADA I REIXAC,70851
2019-01-08,CERDANYOLA,533
2019-01-08,PALLEJA,69027
2019-01-08,BADALONA,1160
2019-01-08,VILADECANS,69745
2019-01-08,ESPLUGUES,131267
2019-01-08,SANT BOI,795
2019-01-08,LA LLAGOSTA,59
2019-01-08,L'HOSPITALET LLOBR.,12435726
2019-01-08,BEGUES,62358
2019-01-08,MONTGAT,2663
2019-01-08,LES BOTIGUES SITGES,1966
2019-01-08,SANT CUGAT,136
2019-01-08,SANT JUST DESVERN,45107
2019-01-08,SANT JOAN DESPI,326192
2019-01-08,GAVA,297818
2019-01-08,TORRELLES LLOBREGAT,17429
2019-01-08,SANT CLIMENT LLOB.,14274
2019-01-09,SANT CUGAT,136
2019-01-09,SANT JUST DESVERN,45271
2019-01-09,BARCELONA,42638550
2019-01-09,L'HOSPITALET LLOBR.,12438342
2019-01-09,SANT JOAN DESPI,326137
2019-01-09,SANT CLIMENT LLOB.,14274
2019-01-09,MONTGAT,2663
2019-01-09,GAVA,297933
2019-01-09,LES BOTIGUES SITGES,1966
2019-01-09,TORRELLES LLOBREGAT,17429
2019-01-09,BEGUES,62358
2019-01-09,STA.COLOMA GRAMENET,440
2019-01-09,LA LLAGOSTA,59
2019-01-09,VILADECANS,69897
2019-01-09,ESPLUGUES,131241
2019-01-09,CORNELLA,1378
2019-01-09,SANT ADRIA,251217
2019-01-09,STA.COLOMA CERVELLO,5
2019-01-09,SANT BOI,795
2019-01-09,PALLEJA,69065
2019-01-09,CASTELLDEFELS,300411
2019-01-09,MONTCADA I REIXAC,70881
2019-01-09,BADALONA,1160
2019-01-09,EL PAPIOL,38778
2019-01-09,SANT FELIU LL.,410233
2019-01-09,CERDANYOLA,533
2019-01-10,BADALONA,1160
2019-01-10,LA LLAGOSTA,59
2019-01-10,ESPLUGUES,130982
2019-01-10,VILADECANS,69501
2019-01-10,STA.COLOMA GRAMENET,440
2019-01-10,CORNELLA,1407
2019-01-10,SANT FELIU LL.,410249
2019-01-10,EL PAPIOL,38778
2019-01-10,SANT ADRIA,251374
2019-01-10,CERDANYOLA,533
2019-01-10,STA.COLOMA CERVELLO,5
2019-01-10,PALLEJA,69065
2019-01-10,SANT CUGAT,136
2019-01-10,SANT JOAN DESPI,326321
2019-01-10,BARCELONA,42771310
2019-01-10,MONTCADA I REIXAC,70881
2019-01-10,CASTELLDEFELS,300456
2019-01-10,SANT BOI,795
2019-01-10,L'HOSPITALET LLOBR.,12443370
2019-01-10,SANT JUST DESVERN,45347
2019-01-10,TORRELLES LLOBREGAT,17544
2019-01-10,MONTGAT,2684
2019-01-10,LES BOTIGUES SITGES,1966
2019-01-10,GAVA,298062
2019-01-10,BEGUES,62358
2019-01-10,SANT CLIMENT LLOB.,14247
2019-01-11,BARCELONA,42943520
2019-01-11,CASTELLDEFELS,300478
2019-01-11,STA.COLOMA CERVELLO,5
2019-01-11,GAVA,299022
2019-01-11,TORRELLES LLOBREGAT,17565
2019-01-11,MONTCADA I REIXAC,70937
2019-01-11,CERDANYOLA,533
2019-01-11,SANT JOAN DESPI,326286
2019-01-11,SANT BOI,795
2019-01-11,BEGUES,62293
2019-01-11,SANT JUST DESVERN,45348
2019-01-11,LES BOTIGUES SITGES,1966
2019-01-11,MONTGAT,2684
2019-01-11,SANT CUGAT,136
2019-01-11,SANT CLIMENT LLOB.,14287
2019-01-11,PALLEJA,69065
2019-01-11,BADALONA,1160
2019-01-11,VILADECANS,69977
2019-01-11,LA LLAGOSTA,129
2019-01-11,ESPLUGUES,130616
2019-01-11,STA.COLOMA GRAMENET,440
2019-01-11,EL PAPIOL,38778
2019-01-11,L'HOSPITALET LLOBR.,12446850
2019-01-11,CORNELLA,1378
2019-01-11,SANT FELIU LL.,410254
2019-01-11,SANT ADRIA,251713
2019-01-12,SANT CLIMENT LLOB.,14228
2019-01-12,PALLEJA,69096
2019-01-12,LES BOTIGUES SITGES,1966
2019-01-12,BADALONA,1124
2019-01-12,LA LLAGOSTA,129
2019-01-12,VILADECANS,70419
2019-01-12,CORNELLA,1394
2019-01-12,SANT ADRIA,251833
2019-01-12,L'HOSPITALET LLOBR.,12459564
2019-01-12,SANT BOI,795
2019-01-12,CASTELLDEFELS,300428
2019-01-12,STA.COLOMA CERVELLO,5
2019-01-12,MONTCADA I REIXAC,71020
2019-01-12,CERDANYOLA,533
2019-01-12,TORRELLES LLOBREGAT,17565
2019-01-12,GAVA,299332
2019-01-12,EL PAPIOL,38778
2019-01-12,SANT FELIU LL.,410416
2019-01-12,ESPLUGUES,130807
2019-01-12,MONTGAT,2684
2019-01-12,STA.COLOMA GRAMENET,440
2019-01-12,SANT CUGAT,136
2019-01-12,BEGUES,62293
2019-01-12,SANT JUST DESVERN,45299
2019-01-12,BARCELONA,42979780
2019-01-12,SANT JOAN DESPI,326510
2019-01-13,SANT FELIU LL.,410440
2019-01-13,EL PAPIOL,38778
2019-01-13,CERDANYOLA,533
2019-01-13,GAVA,299386
2019-01-13,STA.COLOMA CERVELLO,5
2019-01-13,TORRELLES LLOBREGAT,17565
2019-01-13,BADALONA,1124
2019-01-13,SANT JOAN DESPI,326487
2019-01-13,VILADECANS,70827
2019-01-13,LA LLAGOSTA,129
2019-01-13,SANT CUGAT,136
2019-01-13,MONTCADA I REIXAC,71024
2019-01-13,ESPLUGUES,131133
2019-01-13,BARCELONA,42987340
2019-01-13,CASTELLDEFELS,300501
2019-01-13,SANT BOI,795
2019-01-13,STA.COLOMA GRAMENET,440
2019-01-13,SANT JUST DESVERN,45298
2019-01-13,BEGUES,62293
2019-01-13,MONTGAT,2684
2019-01-13,LES BOTIGUES SITGES,1966
2019-01-13,PALLEJA,69122
2019-01-13,SANT CLIMENT LLOB.,14228
2019-01-13,SANT ADRIA,251858
2019-01-13,CORNELLA,1394
2019-01-13,L'HOSPITALET LLOBR.,12462918
2019-01-14,BEGUES,62259
2019-01-14,LES BOTIGUES SITGES,1966
2019-01-14,L'HOSPITALET LLOBR.,12450648
2019-01-14,SANT JUST DESVERN,45322
2019-01-14,MONTGAT,2705
2019-01-14,PALLEJA,69084
2019-01-14,SANT CUGAT,136
2019-01-14,SANT CLIMENT LLOB.,14257
2019-01-14,GAVA,299157
2019-01-14,TORRELLES LLOBREGAT,17565
2019-01-14,CORNELLA,1394
2019-01-14,EL PAPIOL,38778
2019-01-14,SANT FELIU LL.,410535
2019-01-14,SANT ADRIA,251780
2019-01-14,BARCELONA,43152900
2019-01-14,STA.COLOMA CERVELLO,5
2019-01-14,MONTCADA I REIXAC,71024
2019-01-14,CERDANYOLA,533
2019-01-14,BADALONA,1124
2019-01-14,SANT JOAN DESPI,326564
2019-01-14,SANT BOI,859
2019-01-14,VILADECANS,70930
2019-01-14,CASTELLDEFELS,300536
2019-01-14,LA LLAGOSTA,129
2019-01-14,ESPLUGUES,131157
2019-01-14,STA.COLOMA GRAMENET,495
2019-01-15,GAVA,299098
2019-01-15,SANT CLIMENT LLOB.,14321
2019-01-15,TORRELLES LLOBREGAT,17596
2019-01-15,L'HOSPITALET LLOBR.,12450978
2019-01-15,SANT CUGAT,136
2019-01-15,SANT JOAN DESPI,326479
2019-01-15,SANT JUST DESVERN,45347
2019-01-15,BARCELONA,43409010
2019-01-15,LES BOTIGUES SITGES,1966
2019-01-15,BEGUES,62324
2019-01-15,MONTGAT,2717
2019-01-15,VILADECANS,71395
2019-01-15,EL PAPIOL,38778
2019-01-15,LA LLAGOSTA,129
2019-01-15,BADALONA,1104
2019-01-15,SANT FELIU LL.,410810
2019-01-15,ESPLUGUES,131573
2019-01-15,MONTCADA I REIXAC,71024
2019-01-15,CASTELLDEFELS,300725
2019-01-15,STA.COLOMA CERVELLO,5
2019-01-15,SANT BOI,859
2019-01-15,CERDANYOLA,533
2019-01-15,PALLEJA,69084
2019-01-15,SANT ADRIA,251838
2019-01-15,STA.COLOMA GRAMENET,495
2019-01-15,CORNELLA,1394
2019-01-16,SANT JOAN DESPI,326406
2019-01-16,SANT CUGAT,136
2019-01-16,CASTELLDEFELS,300615
2019-01-16,BARCELONA,43696190
2019-01-16,L'HOSPITALET LLOBR.,12461358
2019-01-16,SANT JUST DESVERN,45384
2019-01-16,SANT CLIMENT LLOB.,14390
2019-01-16,LES BOTIGUES SITGES,1966
2019-01-16,MONTGAT,2717
2019-01-16,BEGUES,62324
2019-01-16,GAVA,299041
2019-01-16,TORRELLES LLOBREGAT,17648
2019-01-16,VILADECANS,71658
2019-01-16,LA LLAGOSTA,129
2019-01-16,ESPLUGUES,131936
2019-01-16,SANT ADRIA,252045
2019-01-16,STA.COLOMA GRAMENET,440
2019-01-16,CORNELLA,1423
2019-01-16,SANT BOI,859
2019-01-16,BADALONA,1104
2019-01-16,EL PAPIOL,38778
2019-01-16,SANT FELIU LL.,410836
2019-01-16,CERDANYOLA,533
2019-01-16,STA.COLOMA CERVELLO,5
2019-01-16,PALLEJA,69084
2019-01-16,MONTCADA I REIXAC,71115
2019-01-17,BADALONA,1104
2019-01-17,CORNELLA,1452
2019-01-17,ESPLUGUES,132119
2019-01-17,VILADECANS,71578
2019-01-17,LA LLAGOSTA,129
2019-01-17,STA.COLOMA GRAMENET,440
2019-01-17,EL PAPIOL,38778
2019-01-17,L'HOSPITALET LLOBR.,12463254
2019-01-17,SANT FELIU LL.,410831
2019-01-17,SANT ADRIA,252109
2019-01-17,STA.COLOMA CERVELLO,5
2019-01-17,PALLEJA,69084
2019-01-17,GAVA,299343
2019-01-17,BARCELONA,43874610
2019-01-17,MONTCADA I REIXAC,71161
2019-01-17,TORRELLES LLOBREGAT,17648
2019-01-17,CERDANYOLA,533
2019-01-17,SANT JOAN DESPI,326635
2019-01-17,SANT BOI,859
2019-01-17,CASTELLDEFELS,300787
2019-01-17,LES BOTIGUES SITGES,1966
2019-01-17,BEGUES,62358
2019-01-17,SANT JUST DESVERN,45466
2019-01-17,MONTGAT,2717
2019-01-17,SANT CLIMENT LLOB.,14360
2019-01-17,SANT CUGAT,136
2019-01-18,TORRELLES LLOBREGAT,17648
2019-01-18,CERDANYOLA,533
2019-01-18,SANT BOI,859
2019-01-18,GAVA,299409
2019-01-18,CASTELLDEFELS,300848
2019-01-18,STA.COLOMA CERVELLO,5
2019-01-18,SANT FELIU LL.,410887
2019-01-18,MONTCADA I REIXAC,71190
2019-01-18,EL PAPIOL,38778
2019-01-18,STA.COLOMA GRAMENET,440
2019-01-18,LES BOTIGUES SITGES,1966
2019-01-18,MONTGAT,2717
2019-01-18,BEGUES,62324
2019-01-18,SANT JUST DESVERN,45532
2019-01-18,SANT JOAN DESPI,326811
2019-01-18,SANT CUGAT,136
2019-01-18,BARCELONA,44011800
2019-01-18,PALLEJA,69053
2019-01-18,SANT CLIMENT LLOB.,14360
2019-01-18,ESPLUGUES,132303
2019-01-18,BADALONA,1104
2019-01-18,LA LLAGOSTA,129
2019-01-18,VILADECANS,71608
2019-01-18,L'HOSPITALET LLOBR.,12474270
2019-01-18,CORNELLA,1423
2019-01-18,SANT ADRIA,252031
2019-01-19,STA.COLOMA GRAMENET,440
2019-01-19,CASTELLDEFELS,300855
2019-01-19,SANT JOAN DESPI,326870
2019-01-19,LA LLAGOSTA,129
2019-01-19,ESPLUGUES,132602
2019-01-19,BARCELONA,44039180
2019-01-19,SANT CUGAT,136
2019-01-19,VILADECANS,71803
2019-01-19,TORRELLES LLOBREGAT,17648
2019-01-19,MONTCADA I REIXAC,71286
2019-01-19,SANT FELIU LL.,410950
2019-01-19,CERDANYOLA,533
2019-01-19,STA.COLOMA CERVELLO,5
2019-01-19,GAVA,299491
2019-01-19,EL PAPIOL,38778
2019-01-19,SANT BOI,859
2019-01-19,CORNELLA,1423
2019-01-19,SANT ADRIA,252032
2019-01-19,L'HOSPITALET LLOBR.,12487980
2019-01-19,BADALONA,1104
2019-01-19,PALLEJA,69049
2019-01-19,LES BOTIGUES SITGES,1966
2019-01-19,SANT CLIMENT LLOB.,14390
2019-01-19,MONTGAT,2773
2019-01-19,BEGUES,62324
2019-01-19,SANT JUST DESVERN,45527
2019-01-20,SANT FELIU LL.,411018
2019-01-20,SANT ADRIA,251992
2019-01-20,EL PAPIOL,38778
2019-01-20,STA.COLOMA CERVELLO,5
2019-01-20,BARCELONA,44035660
2019-01-20,MONTCADA I REIXAC,71249
2019-01-20,BADALONA,1140
2019-01-20,CERDANYOLA,533
